input,source,prediction
A coach longed to crawl.,recogs,idk
Olivia teleported the sandwich beside a chair to Liam.,recogs,low
The shark enjoyed to giggle.,recogs,idk
A girl squeezed a donut.,recogs,idk
Emma liked the hedgehog on a chair.,recogs,idk
The boy liked that a cobra changed.,recogs,idk
Asher teleported the doll to the politician.,recogs,idk
Asher teleported a cake to Ava.,recogs,idk
Luna hoped that the hippo slept.,recogs,idk
The donut on the box was eaten by the girl on a table.,recogs,idk
A shark sold a cat the fig.,recogs,idk
Olivia squeezed the cookie in the cot beside the computer.,recogs,idk
Joshua believed that a girl attempted to crawl.,recogs,idk
Liam teleported a seed on the table to the boy.,recogs,idk
The fly beside the bed meant that the girl on the stool slept.,recogs,idk
Emma liked that the cobra improved.,recogs,idk
The cow liked that Liam said that the student liked that the horse believed that Sophia admired that Emma hoped that Charlotte liked that the girl tolerated that Michael admired that the bear hoped that Jayden dreamed that the professor ate a donut in the room.,recogs,idk
Audrey respected that Mason confessed that Michael liked that Emma believed that Christopher liked that the dog liked that the writer hoped that Liam dreamed that a frog proved that a squirrel painted a girl beside the skull.,recogs,idk
The donut was blessed by Elizabeth.,recogs,idk
The sheep hunted Paula.,recogs,idk
The baby ate a donut beside the road in a garden beside a table beside a computer.,recogs,idk
The monkey said that a frog liked that Noah noticed that Joshua hoped that Olivia noticed that Nathan liked that William liked that a giraffe liked that Oliver liked that the dog liked that the cat proved that a girl confessed that a cake shortened.,recogs,idk
The girl liked that the tiger baked Emma.,recogs,idk
Isabella tolerated that a hippo cleaned.,recogs,idk
Madison proved that Theodore said that a girl liked that the cat was returned a cake beside the table.,recogs,idk
The duke handed a shark beside a table to Noah.,recogs,idk
Olivia liked that a dog tolerated that Liam ate a hedgehog.,recogs,idk
The boy shipped the cat the donut beside a whale.,recogs,idk
Isabella crumpled the shark.,recogs,idk
Anthony wanted to crawl.,recogs,idk
William promised a shark to the goose.,recogs,idk
The cockroach gave the cake in the house to Emma.,recogs,idk
James liked that a hippo gasped.,recogs,idk
Asher hoped that a cobra burned.,recogs,idk
The shark passed the cake beside the table to a teacher.,recogs,idk
Noah drew Lina.,recogs,idk
A cat teleported the donut to the visitor.,recogs,idk
Ireland does not share the English language with Great Britain.,feverrefuted,very high
Hawaii is not a state.,feverrefuted,very high
"Kapil Sharma died April 2, 1981.",feverrefuted,low
Jack Black can't act.,feverrefuted,idk
Anni-Frid Lyngstad is only Irish.,feverrefuted,low
Mike Pence did not increase a state's budget surplus.,feverrefuted,very high
"Adele does not sing the song ""Hello.""",feverrefuted,very high
"Perth is the smallest city in Western Australia, the capitol of which is Brunswick.",feverrefuted,low
Boeing 737s main replacement is the Airbus A320 family.,feverrefuted,medium
The Danish Girl is a romantic drama TV show.,feverrefuted,idk
The Last of Us Part II is an action-adventure feature film.,feverrefuted,idk
Lincoln Motor Company was founded in 1919.,feverrefuted,high
The Taliban Shuffle: Strange Days in Afghanistan and Pakistan is based on Whiskey Tango Foxtrot.,feverrefuted,idk
50 First Dates is an Armenian film.,feverrefuted,low
Pusha T refused to be featured on Humanz.,feverrefuted,idk
The Right Stuff's cast sued Ed Harris.,feverrefuted,idk
Dracula is a magazine.,feverrefuted,low
All My Children is set in a fictional suburb of Boston.,feverrefuted,very high
Didier Drogba is not a professional footballer.,feverrefuted,very high
Arjun Kapoor and Jamie Kennedy hosted the IIFA Awards in 2015.,feverrefuted,idk
Canmore is the only destination located in Alberta.,feverrefuted,low
Timothy Olyphant was not born in 1968.,feverrefuted,very high
Sean Connery did not act in The Rock.,feverrefuted,very high
Jeremy Allen White is an American television director.,feverrefuted,very high
Jerry Goldsmith failed to collaborate with anybody during his career.,feverrefuted,low
Gemma Arterton performed in the book Hansel and Grentel: Witch Hunters.,feverrefuted,idk
"Anaheim, California is a city with smallest population in Orange County among other cities.",feverrefuted,high
Laurie Hernandez is European.,feverrefuted,low
Shraddha Kapoor refused to ever be directed by Mohit Suri.,feverrefuted,idk
Allen Iverson didn't make it into the NBA.,feverrefuted,low
R. Kelly has sold over 100 million dogs worldwide.,feverrefuted,low
Stockard Channing appeared in a film based on a building by Alice Hoffman.,feverrefuted,idk
Battle Studies World Tour was a tour by a singer-songwriter born in 1934.,feverrefuted,idk
Willie Nelson is not on an advisory board.,feverrefuted,very high
Uzbekistan is not a member of the UN.,feverrefuted,very high
Pawn Sacrifice was direct by Tobey Maguire.,feverrefuted,idk
Charles I did not marry a Bourbon princess.,feverrefuted,very high
Paris Hilton is a Gemini.,feverrefuted,idk
All major political forces in Azerbaijan are not secular.,feverrefuted,medium
Linda Schuyler was uninvolved with the creation of the Degrassi series.,feverrefuted,very high
Father of the Bride was the third film of Kimberly Williams.,feverrefuted,low
The 2017 film The Mummy was based on The Reanimator by H.P. Lovecraft.,feverrefuted,high
American Horror Story airs on Syfy.,feverrefuted,low
Overwatch's production is unrelated to Blizzard Entertainment.,feverrefuted,very high
Fahrenheit 451 was the only movie Oskar Werner ever starred in.,feverrefuted,very high
Zlatan Ibrahimović is incapable of playing soccer.,feverrefuted,idk
The Night Of wasn't written by Richard Price and Steven Zaillian.,feverrefuted,very high
Fifth Harmony currently consists of 7 members.,feverrefuted,low
All the Pretty Horses is an action film.,feverrefuted,low
Karan Johar won two Golden Globe Awards.,feverrefuted,idk
Dumb and Dumber has only ever inspired a video game.,feverrefuted,idk
Hugh Jackman avoids roles with animal names.,feverrefuted,idk
Gone Girl is a TV show.,feverrefuted,low
Quartet is a brand name.,feverrefuted,very high
The alternative history novel The Man in the High Castle is waiting to be adapted into a television series or a movie.,feverrefuted,idk
Jodie Foster turned down the role she was offered The Silence of the Lambs.,feverrefuted,idk
Caryn Mandabach was incapable of producing A Different World.,feverrefuted,idk
Cloud Atlas premiered at a 2012 film festival in Germany.,feverrefuted,very high
Rock canyons is incapable of being part of the terrain of Kazakhstan.,feverrefuted,low
The brown bear does not belong to the family Ursidae.,feverrefuted,low
Diego Costa plays for Scottish club Chelsea.,feverrefuted,low
Oliver Reed was a squid.,feverrefuted,idk
Lyme disease is not caused by tick bites.,feverrefuted,low
Amerigo Vespucci was a dog.,feverrefuted,low
Page Hamilton is only a composer.,feverrefuted,idk
Silicon Valley is in Southern California.,feverrefuted,low
Theodore Roosevelt was born in 1919.,feverrefuted,low
Michael McCary was born December of 1975.,feverrefuted,very high
Arjun Kapoor never hosted the IIFA Awards.,feverrefuted,very high
"Richmond, Virginia is home to zero of the 13 United States courts of appeals.",feverrefuted,very high
The Hunger Games opening weekend did not gross at $152.5 million.,feverrefuted,idk
A Few Good Men is directed by James Cameron.,feverrefuted,low
There Will Be Blood is not a film.,feverrefuted,low
Macaulay Culkin only appeared in movies directed by Chris Columbus.,feverrefuted,high
Sheds are all exactly the same.,feverrefuted,low
Maria I of Portugal was Queen of al-Andulus.,feverrefuted,low
Pixar was funded by an Indian industrial designer.,feverrefuted,low
Formula One cars are not capable of lateral acceleration in excess of six g in corners.,feverrefuted,very high
Venom has since become less of an antihero.,feverrefuted,idk
Constantine is a film that has nothing to do with an occult detective.,feverrefuted,very high
Burundi has a temperate climate.,feverrefuted,low
Harry Potter is a romantic series.,feverrefuted,low
Rob Lowe is not American.,feverrefuted,low
The IBRO rates George Foreman as the eighth greatest ballplayer of all time.,feverrefuted,idk
Bill Nye began his career as an electrical engineer.,feverrefuted,very high
Socrates was Roman.,feverrefuted,low
Arya Stark is incapable of wielding any weapons.,feverrefuted,low
Anna Paquin was killed in Omaha.,feverrefuted,low
The first season of Outlander (TV series) is based on a movie.,feverrefuted,idk
WALL-E lost all Hugo Awards nominations.,feverrefuted,idk
Superman was a car.,feverrefuted,low
Lisa Kudrow refused to work on any shows that aired on Showtime.,feverrefuted,idk
A crown colony is against the British Empire.,feverrefuted,idk
Jon Huntsman Jr. did not work for the 40th President of the United States.,feverrefuted,very high
Tim Rice worked on anything except Aladdin.,feverrefuted,idk
The Minnesota Vikings is a basketball team.,feverrefuted,low
Audrey Horne was introduced in a movie.,feverrefuted,idk
In Her Shoes was adapted from a novella.,feverrefuted,idk
Howard Hughes never produced Scarface.,feverrefuted,very high
Doctor Who is not a television show.,feverrefuted,low
Britney Spears acts.,feverclaim,idk
"Steffi Graf was born on June 14, 1969.",feverclaim,very high
Elizabeth Taylor acted in films in the 1960's.,feverclaim,very high
"Superunknown sold 310,000 copies.",feverclaim,idk
1989 was the year Molly Bernard was born.,feverclaim,very high
Labor Pains was released on August 4 in the United States and August 31 in the United Kingdom.,feverclaim,very high
The OA is a TV series.,feverclaim,idk
A Song of Ice and Fire takes place in multiple continents.,feverclaim,very high
Overwatch is a video game.,feverclaim,very high
"Assyrian people speak modern Aramaic, as well as another language, dependent on the country of residence.",feverclaim,high
Nosedive is an episode of Black Mirror.,feverclaim,very high
Katie Stevens' birthday is December 8.,feverclaim,idk
Bangalore was controlled by a Maharaja.,feverclaim,idk
Cheyenne Jackson appeared in United 93.,feverclaim,idk
The gray wolf is a species of Canis with a range of including both the New and Old Worlds.,feverclaim,very high
Robert Browning was a playwright.,feverclaim,low
Evil is commonly associated with anger.,feverclaim,medium
Donald Trump was raised in Queens.,feverclaim,very high
Steve Buscemi was in films in the 1990's.,feverclaim,very high
Coldplay released an EP with Parlophone.,feverclaim,idk
Shakira sings.,feverclaim,very high
A Monster Calls is of the fantasy drama genre.,feverclaim,high
John McCain made campaign finance maintenance one of his signature concerns.,feverclaim,high
There are characters who travel with Doctor Who,feverclaim,very high
Wonder Woman is skilled in hunting.,feverclaim,low
Jean-Martin Charcot was from France.,feverclaim,very high
Romelu Lukaku moved to Anderlecht in Brussels.,feverclaim,idk
Marlon Brando was included in something.,feverclaim,idk
Chris Mckenna is a person.,feverclaim,very high
Frank Ocean was born Christopher Edwin Breaux on October 28 in 1987.,feverclaim,very high
The Host stars an actress born on April 12.,feverclaim,idk
FC Barcelona is a football club.,feverclaim,very high
Inside Man stars Denzel Washington as Keith Frazier.,feverclaim,idk
Steven Spielberg is forty years old or older.,feverclaim,idk
Garry Kasparov's nationality is Russian.,feverclaim,very high
Noam Chomsky went to a university at age sixteen.,feverclaim,very high
Jack Nicholson has played someone who rebels against the social structure.,feverclaim,high
Theodore Roosevelt walked out at one point.,feverclaim,idk
Shifty was written and directed by Eran Creevy.,feverclaim,very high
Steve Mouzakis was in the cast of a film directed by Dru Brown.,feverclaim,very high
Emma Stone was started acting in her childhood.,feverclaim,medium
Theodore Roosevelt founded a progressive party.,feverclaim,very high
The Evil Queen has been voiced by Eleanor Audley.,feverclaim,very high
Aaliyah was a United States citizen.,feverclaim,very high
"Throughout Asia, Yelp expanded.",feverclaim,idk
"Peer Astrom has worked with Celine Dion, Lara Fabian, and Enrique Iglesias.",feverclaim,very high
David Mazouz was in Gotham.,feverclaim,very high
Erich von Manstein was born in the 19th century.,feverclaim,very high
Cate Blanchett was nominated for an Academy Award in 1998.,feverclaim,very high
The Entire History of You was penned by the inventor of a dramedy from the UK.,feverclaim,idk
A film starring Sharon Tate also starred her husband.,feverclaim,idk
"Stratford, London is in east London, England.",feverclaim,very high
George W. Romney was married to a celebrity.,feverclaim,idk
"The television series Fargo has an anthology format, setting each season in a different era with a different story and cast.",feverclaim,very high
Cancer can be prevented by taking certain measures.,feverclaim,medium
SpaceX is a private company.,feverclaim,very high
Rod Serling argued with the people who sponsor television.,feverclaim,idk
Planet of the Apes (1968 film) was shot in three different states.,feverclaim,high
Thor: The Dark World is a superhero movie.,feverclaim,very high
Elephants have been portrayed in popular culture.,feverclaim,idk
Lady Gaga is known for her provocative projects.,feverclaim,medium
Record viewership has been achieved by HBO broadcasts of Game of Thrones.,feverclaim,very high
"Bermuda is an associate member of the Caribbean Community, with the capital of Hamilton.",feverclaim,idk
"Newcastle United F.C. has multiple sports awards like four League Championship titles, six FA Cups, a Charity Shield, a 1969 Inter-Cities Fairs Cups and the 2006 UEFA Intertoto Cup.",feverclaim,high
Vladimir Putin achieved success in the presidential election.,feverclaim,high
The Silence of the Lambs is about apprehending a serial killer.,feverclaim,very high
Tanzania is in Africa.,feverclaim,very high
Sir Lenny Henry worked with Richard Curtis.,feverclaim,very high
Rachel McAdams acted during 2015.,feverclaim,very high
Lee Min-ho was the lead role in Bounty Hunters.,feverclaim,very high
Pluto has something in its orbit.,feverclaim,low
The brown bear is an animal.,feverclaim,very high
Ozzy Osbourne sold over 100 million total albums.,feverclaim,high
Aruba has reliably warm weather.,feverclaim,high
2002 was a year when Michael Schumacher won a title.,feverclaim,very high
Chester Bennington is a person.,feverclaim,very high
50 Cent raps.,feverclaim,very high
Kate Nash has a single song called Foundations.,feverclaim,very high
George Best was born.,feverclaim,very high
Liverpool F.C. is not a team in Premier League.,feverclaim,very high
"Providence, Rhode Island was founded by a Puritan.",feverclaim,high
Régine Chassagne is from Canada.,feverclaim,very high
Tom Hanks has been awarded a Kennedy Center Honor.,feverclaim,very high
There is a game that is still played competitively over 20 years after its original release called Super Street Fighter II Turbo.,feverclaim,very high
Harry Styles and his bandmates released the single Take Me Home.,feverclaim,idk
Seth MacFarlane created Family Guy.,feverclaim,very high
"Thailand is smaller than 49 other countries, with a total area of approximately 513,000 square kilometers.",feverclaim,very high
Sicario (2015 film) was nominated for a BAFTA award.,feverclaim,high
Frank Ocean released a single.,feverclaim,idk
The most populous island of Indonesia is called Java.,feverclaim,very high
Tim Rice wrote a musical.,feverclaim,very high
Dhool featured Jyothika in a lead role.,feverclaim,idk
Michael C. Hall won an award.,feverclaim,idk
There is a guest house in the Taj Mahal.,feverclaim,idk
Beauty Shop is a cinematic work.,feverclaim,idk
James A. Woods starred in Hatley High.,feverclaim,idk
To Kill a Mockingbird explores at least one theme.,feverclaim,high
Heartbreak Ridge was produced by Clint Eastwood.,feverclaim,very high
Hacksaw Ridge was released.,feverclaim,idk
Dr. Dre was a hip-hop artist on Death Row Records.,feverclaim,very high
Aides to President Joe Biden discovered at least one additional batch of classified documents in his home garage in Delaware.,onion,medium
"After 15 votes and multiple days of negotiations, Rep. Kevin McCarthy (R-CA) finally won his bid to become speaker of the House.",onion,idk
New York Republican officials have called on embattled Rep. George Santos to resign from office over his lies to voters and fabrications about his personal life.,onion,idk
"Pizza Hut has broken the world record for the world’s largest pizza, making a nearly 14,000 square-foot New York-style pizza capable of serving 68,000 slices. ",onion,very high
Americans across the country just love to cram pizza into their gaping maws.,onion,idk
" French president Emmanuel Macron has announced that starting in 2023, condoms would be made available for free in pharmacies for 18- to 25-year-olds in a bid to reduce the spread of STIs, which increased by 30% over the last two years.",onion,high
"Hoping to allay voters’ concerns about the president’s age, officials at the White House are now just saying that Joe Biden is 52 years old, sources confirmed.",onion,low
"Tugging on the leash with a groan while walking his easily distracted dog, local man Kenneth Granger announced Monday that he would be the judge of what warranted sniffing. ",onion,idk
"Decorated with hearts and smiley faces, a note from a Shein factory worker found Tuesday in local woman Amelia Benson’s order described how much the employee loves doing sweatshop labor for the fast-fashion company. ",onion,idk
The Labor Department found that a major U.S. sanitation company illegally employed at least 102 children as young as 13 at over a dozen slaughterhouses in jobs that had them using caustic chemicals to clean razor-sharp saws.,onion,very high
The Kansas City Chiefs captured their second championship in four seasons after Harrison Butker kicked the game-winning field goal of Super Bowl LVII to secure a 38-35 win over the Philadelphia Eagles.,onion,idk
"In an effort to offer the American people full transparency, Defense Department officials confirmed that the unidentified flying objects shot down by the military were just regular planes, and the nation had just been really high.",onion,low
Several states have recently introduced bills to eliminate age verification for young workers.,onion,medium
"In an effort to prevent needless eating among those in poverty, Congress passed legislation that makes it illegal to use food stamps on anything other than rutabagas. ",onion,idk
"Living longer than any citizen in the nation’s history, Gus Rolnicki, the world’s oldest American, passed away Tuesday at the age of 72.",onion,low
"Following orders to obtain vital scientific knowledge through any means necessary, a team of biologists at Harvard University tortured an amoeba in an attempt to extract information on where life came from, sources confirmed.",onion,low
"Following a sudden jolt and an ear-splitting boom, oxygen masks reportedly dropped from the nation’s ceilings Wednesday after the Earth hit a rough patch in orbit.",onion,idk
"The Guantánamo Bay detention camp in Cuba welcomed its first detainees 20 years ago, inaugurating one of the most controversial elements of the U.S. war on terror.",onion,very high
"Christopher Key, the leader of the “Vaccine Police” organization that opposes Covid-19 vaccinations, recently shared that drinking urine could cure coronavirus. ",onion,low
Hundreds of drivers in Virginia were stuck for almost 24 hours earlier this week after a multi-truck crash was exacerbated by a blizzard.,onion,low
"Betty White died on Dec. 31, 2021, after an entertainment career spanning seven decades.",onion,very high
The Republican Party is putting $1.6 million toward helping former President Trump pay for “certain legal expenses that relate to politically motivated legal proceedings waged against” him. ,onion,medium
"Arthur, the longest-running children’s animated series in the history of American television, has ended with its 25th season, the final episode, titled “All Grown Up,” taking place 20 years into the future when the characters are adults. ",onion,idk
Researchers in Switzerland have developed a spinal cord implant that uses a nerve-stimulating device controlled by a touchscreen tablet that has already allowed for a paralyzed man with a completely severed spine to walk again.,onion,medium
"Reflecting on the path his career had almost taken, former President Barack Obama revealed in an interview that he almost passed on the presidency for a chance to direct Leatherheads.",onion,idk
"In more bad news for the U.S. economy, consumer confidence is down sharply this week, particularly among those in the market for a used 1994 Chevy Astro, van owner Dennis Schram reported.",onion,idk
Upper-middle-class homemaker Irene Risser expressed fear that there exists a gourmet coffee superior to the brands she currently buys. ,onion,idk
"Winona Ryder was convicted of shoplifting $5,500 worth of merchandise from a Beverly Hills Saks Fifth Avenue.",onion,low
"The filthy, disorganized apartment shared by three members of the Amherst College Marxist Society is a microcosm of why the social and economic utopia described in the writings of Karl Marx will never come to fruition, sources reported.",onion,idk
"Months of research and development by a team of India's top physicists have resulted in an ambitious plan to get them the hell out of the overcrowded, impoverished nuclear powderkeg, sources revealed.",onion,idk
The longtime suspicions of White House supervisors were confirmed when Vice-President Dick Cheney was caught moonlighting at a D.C.-area Denny's restaurant.,onion,idk
"Efforts to pass legislation restricting Internet ""spam""—unsolicited mass e-mails usually for advertising purposes—are meeting with strong resistance from the nation's powerful penis-enlargement lobby.",onion,idk
"Covering beats as diverse as Crestline city government, Crestline High School football, and Crestline births and deaths, Crestline Gazette reporter Jerry Schoepke writes an estimated 80 percent of the weekly community newspaper.",onion,idk
"Devastated by the dot-com collapse, Silicon Valley is beginning to rebound.",onion,idk
Members of the national media watchdog group Fairness and Accuracy In Reporting released a 255-page report criticizing the American media for severely biased local sports coverage.,onion,medium
"In an effort to put the man’s behavior into context by describing it as part of an intergenerational cycle of violence, a psychologist stated Friday that local 38-year-old Todd Adelwright mostly likely abused his dog because he had been abused by the dog who owned him as a child.",onion,low
"In an effort to address mounting pressure from environmental advocates, cryptocurrency executives attempted to address criticism over the massive carbon footprint of their technology by unveiling a digital avatar of a glacier.",onion,medium
