,input,source,prediction
193,Jon Huntsman Jr. did not work for the 40th President of the United States.,feverrefuted,high
194,Tim Rice worked on anything except Aladdin.,feverrefuted,low
195,The Minnesota Vikings is a basketball team.,feverrefuted,low
196,Audrey Horne was introduced in a movie.,feverrefuted,low
197,In Her Shoes was adapted from a novella.,feverrefuted,medium
198,Howard Hughes never produced Scarface.,feverrefuted,low
199,Doctor Who is not a television show.,feverrefuted,low
200,Britney Spears acts.,feverclaim,medium
201,"Steffi Graf was born on June 14, 1969.",feverclaim,very high
202,Elizabeth Taylor acted in films in the 1960's.,feverclaim,very high
203,"Superunknown sold 310,000 copies.",feverclaim,medium
204,1989 was the year Molly Bernard was born.,feverclaim,medium
205,Labor Pains was released on August 4 in the United States and August 31 in the United Kingdom.,feverclaim,high
206,The OA is a TV series.,feverclaim,high
207,A Song of Ice and Fire takes place in multiple continents.,feverclaim,high
208,Overwatch is a video game.,feverclaim,very high
209,"Assyrian people speak modern Aramaic, as well as another language, dependent on the country of residence.",feverclaim,high
210,Nosedive is an episode of Black Mirror.,feverclaim,very high
211,Katie Stevens' birthday is December 8.,feverclaim,medium
212,Bangalore was controlled by a Maharaja.,feverclaim,medium
213,Cheyenne Jackson appeared in United 93.,feverclaim,high
214,The gray wolf is a species of Canis with a range of including both the New and Old Worlds.,feverclaim,high
215,Robert Browning was a playwright.,feverclaim,medium
216,Evil is commonly associated with anger.,feverclaim,medium
217,Donald Trump was raised in Queens.,feverclaim,high
218,Steve Buscemi was in films in the 1990's.,feverclaim,high
219,Coldplay released an EP with Parlophone.,feverclaim,high
220,Shakira sings.,feverclaim,very high
221,A Monster Calls is of the fantasy drama genre.,feverclaim,high
222,John McCain made campaign finance maintenance one of his signature concerns.,feverclaim,very high
223,There are characters who travel with Doctor Who,feverclaim,very high
224,Wonder Woman is skilled in hunting.,feverclaim,high
225,Jean-Martin Charcot was from France.,feverclaim,very high
226,Romelu Lukaku moved to Anderlecht in Brussels.,feverclaim,high
227,Marlon Brando was included in something.,feverclaim,low
228,Chris Mckenna is a person.,feverclaim,very high
229,Frank Ocean was born Christopher Edwin Breaux on October 28 in 1987.,feverclaim,very high
230,The Host stars an actress born on April 12.,feverclaim,medium
231,FC Barcelona is a football club.,feverclaim,very high
232,Inside Man stars Denzel Washington as Keith Frazier.,feverclaim,high
233,Steven Spielberg is forty years old or older.,feverclaim,very high
234,Garry Kasparov's nationality is Russian.,feverclaim,very high
235,Noam Chomsky went to a university at age sixteen.,feverclaim,high
236,Jack Nicholson has played someone who rebels against the social structure.,feverclaim,high
237,Theodore Roosevelt walked out at one point.,feverclaim,low
238,Shifty was written and directed by Eran Creevy.,feverclaim,very high
239,Steve Mouzakis was in the cast of a film directed by Dru Brown.,feverclaim,medium
240,Emma Stone was started acting in her childhood.,feverclaim,medium
241,Theodore Roosevelt founded a progressive party.,feverclaim,high
242,The Evil Queen has been voiced by Eleanor Audley.,feverclaim,low
243,Aaliyah was a United States citizen.,feverclaim,very high
244,"Throughout Asia, Yelp expanded.",feverclaim,medium
245,"Peer Astrom has worked with Celine Dion, Lara Fabian, and Enrique Iglesias.",feverclaim,medium
246,David Mazouz was in Gotham.,feverclaim,very high
247,Erich von Manstein was born in the 19th century.,feverclaim,high
248,Cate Blanchett was nominated for an Academy Award in 1998.,feverclaim,high
249,The Entire History of You was penned by the inventor of a dramedy from the UK.,feverclaim,medium
250,A film starring Sharon Tate also starred her husband.,feverclaim,medium
251,"Stratford, London is in east London, England.",feverclaim,high
252,George W. Romney was married to a celebrity.,feverclaim,low
253,"The television series Fargo has an anthology format, setting each season in a different era with a different story and cast.",feverclaim,high
254,Cancer can be prevented by taking certain measures.,feverclaim,high
255,SpaceX is a private company.,feverclaim,very high
256,Rod Serling argued with the people who sponsor television.,feverclaim,medium
257,Planet of the Apes (1968 film) was shot in three different states.,feverclaim,low
258,Thor: The Dark World is a superhero movie.,feverclaim,very high
259,Elephants have been portrayed in popular culture.,feverclaim,high
260,Lady Gaga is known for her provocative projects.,feverclaim,high
261,Record viewership has been achieved by HBO broadcasts of Game of Thrones.,feverclaim,very high
262,"Bermuda is an associate member of the Caribbean Community, with the capital of Hamilton.",feverclaim,high
263,"Newcastle United F.C. has multiple sports awards like four League Championship titles, six FA Cups, a Charity Shield, a 1969 Inter-Cities Fairs Cups and the 2006 UEFA Intertoto Cup.",feverclaim,very high
264,Vladimir Putin achieved success in the presidential election.,feverclaim,high
265,The Silence of the Lambs is about apprehending a serial killer.,feverclaim,very high
266,Tanzania is in Africa.,feverclaim,very high
267,Sir Lenny Henry worked with Richard Curtis.,feverclaim,high
268,Rachel McAdams acted during 2015.,feverclaim,high
269,Lee Min-ho was the lead role in Bounty Hunters.,feverclaim,high
270,Pluto has something in its orbit.,feverclaim,medium
271,The brown bear is an animal.,feverclaim,very high
272,Ozzy Osbourne sold over 100 million total albums.,feverclaim,high
273,Aruba has reliably warm weather.,feverclaim,high
274,2002 was a year when Michael Schumacher won a title.,feverclaim,high
275,Chester Bennington is a person.,feverclaim,very high
276,50 Cent raps.,feverclaim,very high
277,Kate Nash has a single song called Foundations.,feverclaim,high
278,George Best was born.,feverclaim,very high
279,Liverpool F.C. is not a team in Premier League.,feverclaim,low
280,"Providence, Rhode Island was founded by a Puritan.",feverclaim,low
281,Régine Chassagne is from Canada.,feverclaim,high
282,Tom Hanks has been awarded a Kennedy Center Honor.,feverclaim,high
283,There is a game that is still played competitively over 20 years after its original release called Super Street Fighter II Turbo.,feverclaim,high
284,Harry Styles and his bandmates released the single Take Me Home.,feverclaim,medium
285,Seth MacFarlane created Family Guy.,feverclaim,very high
286,"Thailand is smaller than 49 other countries, with a total area of approximately 513,000 square kilometers.",feverclaim,medium
287,Sicario (2015 film) was nominated for a BAFTA award.,feverclaim,high
288,Frank Ocean released a single.,feverclaim,medium
289,The most populous island of Indonesia is called Java.,feverclaim,very high
290,Tim Rice wrote a musical.,feverclaim,high
291,Dhool featured Jyothika in a lead role.,feverclaim,high
292,Michael C. Hall won an award.,feverclaim,medium
293,There is a guest house in the Taj Mahal.,feverclaim,low
294,Beauty Shop is a cinematic work.,feverclaim,high
295,James A. Woods starred in Hatley High.,feverclaim,high
296,To Kill a Mockingbird explores at least one theme.,feverclaim,very high
297,Heartbreak Ridge was produced by Clint Eastwood.,feverclaim,high
298,Hacksaw Ridge was released.,feverclaim,high
299,Dr. Dre was a hip-hop artist on Death Row Records.,feverclaim,high
300,Aides to President Joe Biden discovered at least one additional batch of classified documents in his home garage in Delaware.,onion,low
301,"After 15 votes and multiple days of negotiations, Rep. Kevin McCarthy (R-CA) finally won his bid to become speaker of the House.",onion,medium
302,New York Republican officials have called on embattled Rep. George Santos to resign from office over his lies to voters and fabrications about his personal life.,onion,medium
303,"Pizza Hut has broken the world record for the world’s largest pizza, making a nearly 14,000 square-foot New York-style pizza capable of serving 68,000 slices. ",onion,medium
304,Americans across the country just love to cram pizza into their gaping maws.,onion,low
305," French president Emmanuel Macron has announced that starting in 2023, condoms would be made available for free in pharmacies for 18- to 25-year-olds in a bid to reduce the spread of STIs, which increased by 30% over the last two years.",onion,very high
306,"Hoping to allay voters’ concerns about the president’s age, officials at the White House are now just saying that Joe Biden is 52 years old, sources confirmed.",onion,low
307,"Tugging on the leash with a groan while walking his easily distracted dog, local man Kenneth Granger announced Monday that he would be the judge of what warranted sniffing. ",onion,low
308,"Decorated with hearts and smiley faces, a note from a Shein factory worker found Tuesday in local woman Amelia Benson’s order described how much the employee loves doing sweatshop labor for the fast-fashion company. ",onion,low
309,The Labor Department found that a major U.S. sanitation company illegally employed at least 102 children as young as 13 at over a dozen slaughterhouses in jobs that had them using caustic chemicals to clean razor-sharp saws.,onion,high
310,The Kansas City Chiefs captured their second championship in four seasons after Harrison Butker kicked the game-winning field goal of Super Bowl LVII to secure a 38-35 win over the Philadelphia Eagles.,onion,idk
311,"In an effort to offer the American people full transparency, Defense Department officials confirmed that the unidentified flying objects shot down by the military were just regular planes, and the nation had just been really high.",onion,low
312,Several states have recently introduced bills to eliminate age verification for young workers.,onion,medium
313,"In an effort to prevent needless eating among those in poverty, Congress passed legislation that makes it illegal to use food stamps on anything other than rutabagas. ",onion,low
314,"Living longer than any citizen in the nation’s history, Gus Rolnicki, the world’s oldest American, passed away Tuesday at the age of 72.",onion,low
315,"Following orders to obtain vital scientific knowledge through any means necessary, a team of biologists at Harvard University tortured an amoeba in an attempt to extract information on where life came from, sources confirmed.",onion,low
316,"Following a sudden jolt and an ear-splitting boom, oxygen masks reportedly dropped from the nation’s ceilings Wednesday after the Earth hit a rough patch in orbit.",onion,low
317,"The Guantánamo Bay detention camp in Cuba welcomed its first detainees 20 years ago, inaugurating one of the most controversial elements of the U.S. war on terror.",onion,very high
318,"Christopher Key, the leader of the “Vaccine Police” organization that opposes Covid-19 vaccinations, recently shared that drinking urine could cure coronavirus. ",onion,low
319,Hundreds of drivers in Virginia were stuck for almost 24 hours earlier this week after a multi-truck crash was exacerbated by a blizzard.,onion,high
320,"Betty White died on Dec. 31, 2021, after an entertainment career spanning seven decades.",onion,very high
321,The Republican Party is putting $1.6 million toward helping former President Trump pay for “certain legal expenses that relate to politically motivated legal proceedings waged against” him. ,onion,medium
322,"Arthur, the longest-running children’s animated series in the history of American television, has ended with its 25th season, the final episode, titled “All Grown Up,” taking place 20 years into the future when the characters are adults. ",onion,medium
323,Researchers in Switzerland have developed a spinal cord implant that uses a nerve-stimulating device controlled by a touchscreen tablet that has already allowed for a paralyzed man with a completely severed spine to walk again.,onion,high
324,"Reflecting on the path his career had almost taken, former President Barack Obama revealed in an interview that he almost passed on the presidency for a chance to direct Leatherheads.",onion,low
325,"In more bad news for the U.S. economy, consumer confidence is down sharply this week, particularly among those in the market for a used 1994 Chevy Astro, van owner Dennis Schram reported.",onion,low
326,Upper-middle-class homemaker Irene Risser expressed fear that there exists a gourmet coffee superior to the brands she currently buys. ,onion,low
327,"Winona Ryder was convicted of shoplifting $5,500 worth of merchandise from a Beverly Hills Saks Fifth Avenue.",onion,high
328,"The filthy, disorganized apartment shared by three members of the Amherst College Marxist Society is a microcosm of why the social and economic utopia described in the writings of Karl Marx will never come to fruition, sources reported.",onion,low
329,"Months of research and development by a team of India's top physicists have resulted in an ambitious plan to get them the hell out of the overcrowded, impoverished nuclear powderkeg, sources revealed.",onion,low
330,The longtime suspicions of White House supervisors were confirmed when Vice-President Dick Cheney was caught moonlighting at a D.C.-area Denny's restaurant.,onion,low
331,"Efforts to pass legislation restricting Internet ""spam""—unsolicited mass e-mails usually for advertising purposes—are meeting with strong resistance from the nation's powerful penis-enlargement lobby.",onion,low
332,"Covering beats as diverse as Crestline city government, Crestline High School football, and Crestline births and deaths, Crestline Gazette reporter Jerry Schoepke writes an estimated 80 percent of the weekly community newspaper.",onion,medium
333,"Devastated by the dot-com collapse, Silicon Valley is beginning to rebound.",onion,medium
334,Members of the national media watchdog group Fairness and Accuracy In Reporting released a 255-page report criticizing the American media for severely biased local sports coverage.,onion,medium
335,"In an effort to put the man’s behavior into context by describing it as part of an intergenerational cycle of violence, a psychologist stated Friday that local 38-year-old Todd Adelwright mostly likely abused his dog because he had been abused by the dog who owned him as a child.",onion,low
336,"In an effort to address mounting pressure from environmental advocates, cryptocurrency executives attempted to address criticism over the massive carbon footprint of their technology by unveiling a digital avatar of a glacier.",onion,medium
