statement_idx,report,page_num,sent_num,statement,confidence,score,split,prediction,correct
282,AR6_WGI,116,13,The largest co-benefits are obtained with methods that seek to restore natural ecosystems or improve soil carbon sequestration,medium,1,test,high,False
322,AR6_WGI,122,19,"For global warming up to 2°C above 1850–1900 levels, paleoclimate records do not indicate abrupt changes in the carbon cycle",low,0,test,high,False
361,AR6_WGI,134,16,"At global and regional scales, near-term monsoon changes will be dominated by the effects of internal variability",medium,1,test,high,False
371,AR6_WGI,136,16,It is very likely that mean temperatures have increased in all land regions and will continue to increase at rates greater than the global average,high,2,test,very high,False
415,AR6_WGI,154,9,"Future projections indicate continuing decline in seasonal snow duration, glacial mass, and permafrost area by mid-century",high,2,test,very high,False
419,AR6_WGI,154,17,"Extreme hydrological drought frequency has increased in a region extending from south-west to north-east China, with projected increases of agricultural and ecological drought for 4°C GWL and fire weather for 2°C and above",medium,1,test,medium,True
467,AR6_WGI,160,4,Improvements in urban climate modelling and climate monitoring networks have contributed to understanding the mutual interaction between regional and urban climate,high,2,test,high,True
497,AR6_WGI,203,15,"Over the period 1982–2016, marine heatwaves have very likely doubled in frequency and are increasing in intensity",very high,3,test,high,False
548,AR6_WGI,306,10,Changes in ERF since the late 19th century are dominated by increases in concentrations of greenhouse gases and trends in aerosols; the net ERF is positive and changing at an increasing rate since the 1970s,medium,1,test,very high,False
556,AR6_WGI,306,31,The best-estimate ERF from the increase in global albedo is –0.15 W m–2 since 1700 and –0.12 W m–2 since 1850,medium,1,test,medium,True
572,AR6_WGI,307,32,"The average rate of sea level rise was 1.3 [0.6 to 2.1] mm yr –1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr –1 between 1971 and 2006, and further increasing to 3.7 [3.2 to 4.2] mm yr –1 between 2006 and 2018",high,2,test,very high,False
583,AR6_WGI,308,9,"Over the last century, there have been increases in species turnover within many ecosystems",high,2,test,high,True
586,AR6_WGI,308,13,"CO2 levels during the MPWP were similar to present for a sustained period, within a range of 360–420 ppm",medium,1,test,medium,True
593,AR6_WGI,315,13,"Based on boron and carbon isotope data, supported by other proxies (Hollis et al., 2019), atmospheric CO2 during the EECO (50 Ma) was between 1150 and 2500 ppm",medium,1,test,medium,True
602,AR6_WGI,323,33,"Limited coverage by surface observations precludes identification of zonal trends in the SH, while observations of tropospheric column ozone indicate increases of less than 5% per decade at southern mid-latitudes",medium,1,test,medium,True
621,AR6_WGI,336,10,"Given the projected future sea ice losses, the effect will grow in future",low,0,test,high,False
663,AR6_WGI,365,4,"Permafrost that formed after 3ka still persists in areas of the NH, but there are indications of thaw after the mid-1800s",medium,1,test,medium,True
671,AR6_WGI,369,32,"The fastest rise occurred during Meltwater Pulse 1A, at about 14.6–14.3 ka (Deschamps et al., 2012; Sanborn et al., 2017), when GMSL rose by between 8 m and 15 m",medium,1,test,medium,True
679,AR6_WGI,374,10,"A long-term increase in surface open ocean pH occurred over the past 50 Myr, and surface open ocean pH as low as recent times is uncommon in the last 2 Myr",medium,1,test,high,False
687,AR6_WGI,378,12,"A small decrease in productivity is evident globally for the period 1998–2015, but regional changes are larger and of opposing signs",low,0,test,medium,False
688,AR6_WGI,378,30,New in situ data as well as satellite observations strengthen AR5 and SROCC findings that various phenological metrics for many species of marine organisms have changed in the last half century,high,2,test,high,True
736,AR6_WGI,449,7,Simulated GMST anomalies are well within the uncertainty range of temperature reconstructions,medium,1,test,high,False
741,AR6_WGI,463,12,"Although there is noticeable uncertainty among observational products (H. Su et al., 2017) and observation quality changes through time, global ocean heat content continued to increase during the slower surface warming period",very high,3,test,high,False
768,AR6_WGI,492,1,"Nevertheless, the CMIP6 models show a somewhat more realistic pattern of SST trends",low,0,test,medium,False
772,AR6_WGI,495,14,The structure of the salinity biases in the multi-model mean has not changed substantially between CMIP5 and CMIP6,medium,1,test,high,False
774,AR6_WGI,497,6,CMIP5 and CMIP6 models are only able to reproduce these patterns in simulations that include greenhouse gas increases,medium,1,test,high,False
783,AR6_WGI,509,9,CMIP5 and CMIP6 models are skilful in simulating the spatial features and the variance of the NAM/NAO and associated teleconnections,high,2,test,medium,False
795,AR6_WGI,522,23,The pattern of ocean salinity changes indicate that fresh regions are becoming fresher and that salty regions are becoming saltier as a result of changes in ocean-atmosphere fluxes through evaporation and precipitation,high,2,test,high,True
855,AR6_WGI,593,3,We assess that the cumulative uptake of carbon by the ocean and by land will increase through the 21st century irrespective of the considered emissions scenarios except SSP1-1.9,very high,3,test,high,False
922,AR6_WGI,692,7,"Current atmospheric concentrations of the three GHGs are higher than at any point in the last 800,000 years, and in 2019 reached 409.9 parts per million (ppm) of CO2, 1866.3 parts per billion (ppb) of CH4, and 332.1 ppb of N2O",very high,3,test,very high,True
941,AR6_WGI,694,23,"The fraction of CO2 removed that remains out of the atmosphere, a measure of CDR effectiveness, decreases slightly with increasing amount of removal (medium confidence) and decreases strongly if CDR is applied at lower CO 2 concentrations",medium,1,test,medium,True
974,AR6_WGI,735,7,Projected oxygen loss in the ocean is thought to result in an ocean-climate feedback through changes in the natural emissions of GHGs,low,0,test,medium,False
980,AR6_WGI,742,14,"One study inferred a multi-year net CO2 source for the tundra in Alaska (Commane et al., 2017), which is equivalent to 0.3 PgC yr–1 when scaled up to the northern permafrost region",low,0,test,low,True
997,AR6_WGI,762,3,"Increasing ocean warming and stratification may decrease exchanges between the surface and subsurface ocean, which could reduce the path independence of TCRE, though this effect can be partially counterbalanced regionally by increasing circulation associated with increasing winds",low,0,test,medium,False
1005,AR6_WGI,779,14,The use of biochar reduces nutrient losses,low,0,test,medium,False
1027,AR6_WGI,835,25,"The spatial and temporal distribution of the net aerosol ERF from 1850 to 2014 is highly heterogeneous, with stronger magnitudes in the Northern Hemisphere",high,2,test,high,True
1036,AR6_WGI,836,17,"Under the SSP3‑7.0 scenario, PM levels are projected to increase until 2050 over large parts of Asia, and surface ozone pollution is projected to worsen over all continental areas through 2100",high,2,test,high,True
1042,AR6_WGI,837,13,"About 30 years or more after a one‑year emission pulse occurs, the sectors contributing the most to global warming are industry, fossil fuel combustion for energy and land transportation, essentially through CO2",high,2,test,high,True
1096,AR6_WGI,881,21,"For SLCFs with short lifetime (e.g., months), the response in surface temperature occurs strongly as soon as a sustained change in emissions is implemented and continues to grow for a few years, primarily due to thermal inertia in the climate system",high,2,test,high,True
1185,AR6_WGI,969,37,There is thus limited evidence and medium agreement for a small negative contribution to ERFaci from anthropogenic INP-induced cirrus modifications,low,0,test,low,True
1259,AR6_WGI,1075,9,"Non-linear responses of regional runoff, groundwater recharge and water scarcity highlight the limitations of simple pattern-scaling techniques",medium,1,test,high,False
1263,AR6_WGI,1075,19,The impact of SRM can affect different regions in potentially disruptive ways,low,0,test,medium,False
1275,AR6_WGI,1085,2,"To summarize, increased moisture transport from evaporative oceans to high precipitation regions of the atmospheric circulation will drive amplified P–E and salinity patterns over the ocean",high,2,test,high,True
1304,AR6_WGI,1109,23,"In AR6, Chapter 2 (Section 2.3.1.4.1) states that the HC has very likely widened and strengthened since at least the 1980s, mostly in the NH",medium,1,test,very high,False
1332,AR6_WGI,1125,16,The AR5 assessed that the contrast of mean precipitation amount between dry and wet regions and seasons is expected to increase over most of the globe as temperatures increase,high,2,test,medium,False
1342,AR6_WGI,1135,14,There is a likely increase in drought occurrence,medium,1,test,medium,True
1362,AR6_WGI,1141,20,Discrepancies between observed and simulated changes in SSTs in the tropics indicate that a temporary strengthening of the Walker Circulation can arise from internal variability,medium,1,test,medium,True
1390,AR6_WGI,1230,13,The long time scale also implies that the amount of deep-ocean warming is irreversible over centuries to millennia,very high,3,test,very high,True
1450,AR6_WGI,1250,26,Projections confirm SROCC assessment that fresh ocean regions will continue to get fresher and salty ocean regions will continue to get saltier in the 21st century,medium,1,test,high,False
1466,AR6_WGI,1258,10,"As eddies potentially play a role in determining the strength of gyre circulations and their low- frequency variability (Fox-Kemper and Pedlosky, 2004; Berloff et al., 2007), it is expected that eddy-present and eddy-rich models will differ in their decadal variability and sensitivity to changes in the wind stress of gyres from eddy-parameterized models",medium,1,test,medium,True
1470,AR6_WGI,1260,11,The California Current system has experienced some upwelling-favourable wind intensification since the 1980s,high,2,test,medium,False
1489,AR6_WGI,1268,5,"The changes in stratification result partly from surface freshening (De Lavergne et al., 2014), associated with increased northward sea ice advection (Haumann et al., 2020) and/or melting of the Antarctic ice sheet",medium,1,test,medium,True
1507,AR6_WGI,1288,32,"The SR1.5 (Hoegh-Guldberg et al., 2018) assessed that a threshold for WAIS instability may be close to 1.5°C–2°C",medium,1,test,medium,True
1510,AR6_WGI,1289,12,"Under around 2°C–3°C peak warming, complete or near-complete loss of the WAIS is projected in most studies after multiple millennia, with continent-wide mass losses of around 2–5 m SLE or more; this could occur on multi-century time scales under very high basal melting (Lipscomb et al., 2021) or widespread ice-shelf loss and/or MICI",low,0,test,medium,False
1567,AR6_WGI,1323,10,"Carbon dioxide removal, solar radiation modification, and local ice-shelf engineering may be effective at reducing the yet-to-be- realized sea level commitment, but ineffective at reversing GMSL rise",low,0,test,medium,False
1591,AR6_WGI,1382,27,"Dynamical downscaling using regional climate models adds value in representing many regional weather and climate phenomena, especially over regions of complex orography or with heterogeneous surface characteristics",very high,3,test,high,False
1630,AR6_WGI,1423,22,Bias adjustment has proven beneficial as an interface between climate model projections and impact modelling in many different contexts,high,2,test,high,True
1664,AR6_WGI,1534,18,"At the global scale, the intensification of heavy precipitation will follow the rate of increase in the maximum amount of moisture that the atmosphere can hold as it warms",high,2,test,high,True
1666,AR6_WGI,1534,20,"Increases in the intensity of extreme precipitation at regional scales will vary, depending on the amount of regional warming, changes in atmospheric circulation and storm dynamics",high,2,test,medium,False
1760,AR6_WGI,1620,18,Both the ENSO amplitude and the frequency of high-magnitude events since 1950 is higher than over the pre-industrial period,medium,1,test,medium,True
1804,AR6_WGI,1810,10,"Extreme precipitation intensity is also increasing in several other regions, such as SAH, NEAF, SEAF, ESAF and MDG",high,2,test,high,True
1831,AR6_WGI,1816,10,Monsoon floods will be more intense in SAS,medium,1,test,medium,True
1838,AR6_WGI,1817,6,Higher future temperatures are expected to alter the seasonal profile of hydrologic droughts given reduced summer snowmelt,medium,1,test,high,False
1885,AR6_WGI,1826,9,"In New Zealand, mean wind patterns are projected to become more north-easterly in summer, and westerlies to become more intense in winter",low,0,test,medium,False
1906,AR6_WGI,1832,9,"In NWS, a wide range of changes is projected",low,0,test,medium,False
1928,AR6_WGI,1839,27,Fire weather conditions have been increasing since about 1980 over a few regions in Europe including Mediterranean areas,low,0,test,high,False
1935,AR6_WGI,1840,13,"Wind stagnation events may become more frequent in future climate scenarios in some areas of Europe in the second half of the 21st century (Horton et al., 2014; Vautard et al., 2018), with potential consequences on air quality",low,0,test,medium,False
1956,AR6_WGI,1848,11,"Climate change drives future increases in North American fire weather, particularly in the south-west",high,2,test,high,True
1957,AR6_WGI,1848,19,The mean wind speeds decline in North America – as in other Northern Hemisphere areas – over the past four decades has reversed in the last decade,low,0,test,medium,False
2001,AR6_WGI,1861,10,"In the Arctic, mid-winter snowpack increases in some of the coldest and high- elevation locations given higher precipitation totals",medium,1,test,medium,True
2016,AR6_WGI,1864,23,"Climate change-related variations in oceanic drivers (e.g., relative sea level, storm surge, ocean waves), combined with tropical cyclones, extreme precipitation and river flooding, are expected to lead to more frequent and more intense coastal flooding and erosion",very high,3,test,high,False
2046,AR6_WGI,1870,16,"The emergence of increasing precipitation before the middle of the 21st century is found across scenarios in Siberian regions, Russian Far East, Northern Europe, Arctic regions and the northernmost parts of North America",high,2,test,high,True
2089,AR6_WGI,1876,8,The Arctic Ocean will likely become sea ice-free in September before 2050 in all considered SSP scenarios; such disappearance including several months in most years at 3°C–5°C,high,2,test,high,True
2095,AR6_WGI,1876,18,Spring Snow Cover has seen substantial reductions in spring snow cover extent in the Northern Hemisphere since 1978,very high,3,test,very high,True
2115,AR6_WGI,1947,16,"Across each of the continents, higher warming is likely to occur in northern Africa, the central interior of southern and Western Africa; in North Asia; in Central Australia; in Amazonia; in Northern Europe and northern North America",high,2,test,high,True
2132,AR6_WGI,1987,14,The rate of surface temperature increase has generally been more rapid in Africa than the global average and by at least 0.1°C–0.2°C during 1961–2015,high,2,test,high,True
2191,AR6_WGI,2003,4,"The assessment found that the volume of ice in New Zealand has declined by 36–61% from the mid- to late 1800s to the late 1900s, while late-season significant snow depth has also declined in three out of four Snowy Mountain sites in Australia between 1957 and 2002",high,2,test,high,True
2196,AR6_WGI,2007,20,"According to AR5 (Christensen et al., 2013), significant positive trends of temperature have been observed in Central America",high,2,test,high,True
2208,AR6_WGI,2010,20,Under moderate future emissions overall negative but non-significant precipitation trends are projected for the 21st century,low,0,test,medium,False
2235,AR6_WGI,2013,15,"Under high RCPs, the CMIP5 ensemble projects that all Brazilian regions will experience more rainfall variability in the future, so drier dry periods and wetter wet periods on daily, weekly, monthly and seasonal time scales, despite the future changes in mean rainfall being currently uncertain",medium,1,test,medium,True
2293,AR6_WGI,2040,34,"In the south-west, north-east and north-west, SMB turns negative or close to zero after 2000 and remains above zero in other regions",medium,1,test,medium,True
2310,AR6_WGII,20,16,"Approximately half of the species assessed globally have shifted polewards or, on land, also to higher elevations",very high,3,test,high,False
2392,AR6_WGII,26,4,"Mental health challenges, including anxiety and stress, are expected to increase under further global warming in all assessed regions, particularly for children, adolescents, elderly, and those with underlying health conditions",very high,3,test,medium,False
2423,AR6_WGII,31,1,"In high-carbon ecosystems (currently storing 3,000 to 4,000 GtC) such impacts are already observed and are projected to increase with every additional increment of global warming, such as increased wildfires, mass mortality of trees, drying of peatlands, and thawing of permafrost, weakening natural land carbon sinks and increasing releases of greenhouse gases",medium,1,test,high,False
2430,AR6_WGII,31,15,"Adaptation can generate multiple additional benefits such as improving agricultural productivity, innovation, health and well-being, food security, livelihood, and biodiversity conservation as well as reduction of risks and damages",very high,3,test,high,False
2473,AR6_WGII,36,18,"Health and well-being would benefit from integrated adaptation approaches that mainstream health into food, livelihoods, social protection, infrastructure, water and sanitation policies requiring collaboration and coordination at all scales of governance",very high,3,test,high,False
2518,AR6_WGII,40,18,"This includes rights-based approaches that focus on capacity-building, meaningful participation of the most vulnerable groups, and their access to key resources, including financing, to reduce risk and adapt",high,2,test,high,True
2520,AR6_WGII,42,1,"Planning processes and decision analysis tools can help identify ‘low regrets’ options47 that enable mitigation and adaptation in the face of change, complexity, deep uncertainty and divergent views",medium,1,test,medium,True
2525,AR6_WGII,42,16,Climate resilient development in urban areas also supports adaptive capacity in more rural places through maintaining peri-urban supply chains of goods and services and financial flows,medium,1,test,medium,True
2572,AR6_WGII,58,9,Coastal ‘blue carbon’ systems are already impacted by multiple climate and non- climate drivers,very high,3,test,high,False
2589,AR6_WGII,59,15,"Climate-related extreme events are followed by negative impacts on mental health, well-being, life satisfaction, happiness, cognitive performance and aggression in exposed populations",very high,3,test,high,False
2599,AR6_WGII,60,2,"The impacts of climate-related extremes on food security, nutrition and livelihoods are particularly acute and severe for people living in sub-Saharan Africa, Asia, small islands, Central and South America and the Arctic and small-scale food producers globally",high,2,test,high,True
2605,AR6_WGII,60,9,Increasing ocean warming and acidification are enhancing movement and bioaccumulation of toxins and contaminants into marine food webs (medium confidence) and with bio-magnification of persistent organic pollutants and methyl mercury already affecting fisheries,medium,1,test,medium,True
2616,AR6_WGII,60,27,Approximately 163 million people now live in unfamiliarly dry areas,medium,1,test,medium,True
2672,AR6_WGII,64,10,"Compared to other socioeconomic factors, the influence of climate on conflict is exacerbated by insecure land tenure, weather-sensitive economic activities, weak institutions and fragile governance, poverty and inequality",medium,1,test,medium,True
2685,AR6_WGII,65,4,"Currently, coastal cities already dependent on extensive protective works face the prospects of significantly increasing costs to maintain current protection levels, especially if the local sea level rises to the point that financial and technical limits are reached; systemic changes, such as relocation of millions of people, will be necessary",medium,1,test,high,False
2804,AR6_WGII,74,4,"For example, in Europe, coastal flood damage is projected to increase at least 10-fold by the end of the 21st century, and even more or earlier with current adaptation and mitigation",high,2,test,medium,False
2914,AR6_WGII,82,8,"There are gaps between current adaptation and the adaptation needed to avoid the increase of climate impacts that can be observed across sectors and regions, especially under medium and high warming levels",high,2,test,high,True
2930,AR6_WGII,95,6,"For example, Africa faces severe climate data constraints and inequities in research funding and leadership that reduce adaptive capacity",very high,3,test,high,False
2964,AR6_WGII,97,8,"As sea level rise advances, only avoidance and relocation will eliminate coastal risks",high,2,test,high,True
3015,AR6_WGII,104,19,Urban adaptation measures have many opportunities to contribute to climate resilient development pathways,medium,1,test,high,False
3071,AR6_WGII,107,25,"Adaptation and mitigation approaches that exacerbate inequitable access to resources and fail to address injustice increase suffering, including water and food insecurity and malnutrition rates for vulnerable groups that rely directly or indirectly on natural resources for their livelihoods",high,2,test,high,True
3127,AR6_WGII,112,31,There are very few examples of successful integration of gender and other social inequities in climate policies to address climate change vulnerabilities and questions of social justice,very high,3,test,medium,False
3156,AR6_WGII,120,2,"For example, Indigenous knowledge contains resource-use practices and ecosystem stewardship strategies that conserve and enhance both wild and domestic biodiversity, resulting in terrestrial and aquatic ecosystems and species that are often less degraded in Indigenous managed lands in other lands",medium,1,test,medium,True
3184,AR6_WGII,121,22,City and local governments remain key actors facilitating climate change adaptation in cities and settlements,medium,1,test,very high,False
3186,AR6_WGII,121,24,Networked community actions can address neighbourhood-scale improvements and vulnerability at scale,very high,3,test,medium,False
3222,AR6_WGII,163,10,"Responses of biota to rapid climate change have included range shifts (very high confidence), phenotypic plasticity (high confidence), evolutionary adaptation (medium confidence), and species extinctions, including mass extinctions",very high,3,test,medium,False
3242,AR6_WGII,211,6,"Where attribution was assessed (>4,000 species globally), approximately half of the species had shifted their ranges to higher latitudes or elevations and two-thirds of spring phenological events had advanced, driven by regional climate changes",very high,3,test,high,False
3246,AR6_WGII,211,21,"Indirect changes include alterations in river morphology, substrate composition, oxygen concentrations and thermal regime in lakes",very high,3,test,medium,False
3250,AR6_WGII,211,29,"Local population extinctions caused by climate change have been widespread among plants and animals, detected in 47% of 976 species examined and associated with increases in the hottest yearly temperatures",very high,3,test,high,False
3282,AR6_WGII,213,20,Area at high risk of biome shifts from changes in climate and land use combined can double or triple compared to climate change alone,medium,1,test,medium,True
3290,AR6_WGII,214,12,Many proposed adaptation measures have not been implemented,low,0,test,medium,False
3305,AR6_WGII,219,25,"It is generally assumed that the more rapid the rate of change, the greater the impact on species and ecosystems, but responses are taxonomically and geographically variable",high,2,test,medium,False
3333,AR6_WGII,236,30,"The most heat-tolerant species, such as those from extreme environments, may therefore be at a greater risk of warming because of an inability to physiologically adjust to thermal change",low,0,test,medium,False
3381,AR6_WGII,264,7,Increases in the area burned have been attributed to anthropogenic climate change in North America,high,2,test,high,True
3418,AR6_WGII,288,2,"While this has not yet been systematically explored, similar feedbacks might also emerge from a CO2-induced woody cover increase in savannas",low,0,test,low,True
3419,AR6_WGII,288,5,"Locally, both directly human-mediated and climate change-mediated changes in vegetation cover can therefore notably affect annual average freshwater availability to human societies, especially if negative feedbacks amplify the reduction of vegetation cover, evapotranspiration and precipitation",medium,1,test,medium,True
3426,AR6_WGII,302,5,"There are substantial non-climatic drivers (LUC, wildlife exploitation, habitat degradation, public health and socioeconomic conditions) to the geographic and seasonal range suitability of pathogens and vectors that affect the attribution of the overall impacts on the prevalence or severity of some vector- and water-borne infectious diseases over recent decades",high,2,test,high,True
3428,AR6_WGII,303,16,"The area of coastline suitable for Cholera, Dengue or Malaria outbreak is increasing in North and West Africa, not changing in Central and East Africa, decreasing but potentially expanding in South Africa",low,0,test,medium,False
3455,AR6_WGII,316,9,"Draining, cutting and burning peat lead to oxidation and the release of CO2",very high,3,test,very high,True
3456,AR6_WGII,316,10,Re-wetting by blocking drainage and preventing cutting and burning can reverse this process on temperate peatlands,medium,1,test,medium,True
3487,AR6_WGII,393,4,"Combined climate- induced drivers and non-climate drivers decrease physical protection of people, property and culturally important sites from flooding",very high,3,test,high,False
3553,AR6_WGII,411,17,"Temperature affects the movement and transport of molecules and, thereby, the rates of all biochemical reactions; thus, ongoing and projected warming that remains below an organism’s physiological optimum will generally raise metabolic rates",very high,3,test,very high,True
3574,AR6_WGII,415,26,Rising metabolic rates due to warming will be restricted to primary producers in high- nutrient regions,medium,1,test,low,False
3581,AR6_WGII,418,3,"It is difficult to generalise to what extent co-occurring ocean warming ameliorates or exacerbates effects of acidification on behaviour (Laubenstein et al., 2019); outcomes depend upon species and life stage (Faleiro et al., 2015; Chan et al., 2016; Tills et al., 2016; Wang et al., 2018b; Jarrold et al., 2020), interactions between species (e.g., Paula et al., 2019) along with confounding factors including food availability and salinity",medium,1,test,medium,True
3609,AR6_WGII,425,3,"Major reef crises in the past 300 million years were governed by hyperthermal events (medium confidence) (Section 3.2.4.4; Cross-Chapter Box PALEO in Chapter 1) longer in time scale than anthropogenic climate change, during which net coral reef accretion was more strongly affected than biodiversity",medium,1,test,medium,True
3659,AR6_WGII,432,11,"Estuaries, deltas and lagoons were not assessed in this report.Under both a 1.5°C and 2°C of warming, relative to the pre-industrial era, deltas are expected to be highly threatened by SLR and localised subsidence",high,2,test,medium,False
3693,AR6_WGII,434,16,"Other species, such as Posidonia oceanica in the Mediterranean, might lose as much as 75% of their habitat by 2050 under RCP8.5 and become functionally extinct",low,0,test,medium,False
3747,AR6_WGII,439,19,"Estuaries, shelf seas and a wide range of other intertidal and shallow-water habitats play an important role in the global carbon cycle through their primary production by rooted plants, seaweeds (macroalgae) and phytoplankton, and also by processing riverine organic carbon. The natural carbon dynamics of these systems have been greatly changed by human activities",high,2,test,high,True
3757,AR6_WGII,441,8,This is consistent with changes expected under climate change yet remains complicated by the influence of decadal-scale variability,low,0,test,medium,False
3759,AR6_WGII,441,13,"However, the interaction of coastal warming and local winds may have affected upwelling strength, with the direction of changes [varying] between and within EBUS",low,0,test,medium,False
3788,AR6_WGII,444,4,"While levels of pollutants in biota (e.g., persistent organic pollutants, mercury) have generally declined over the past decades, recent increasing levels are associated with release from reservoirs in ice, snow and permafrost, and through changing food webs and pathways for trophic amplification",medium,1,test,medium,True
3800,AR6_WGII,447,14,Projections also suggest that warming-related increases in trophic efficiency lead to a 17% increase in the biomass of the deep-scattering layer (zooplankton and fish in the mesopelagic) by 2100,low,0,test,low,True
3832,AR6_WGII,453,8,Shifts in different ecosystems may be connected through common drivers or through cascading effects,medium,1,test,high,False
3851,AR6_WGII,461,3,"Owing to contradictory observations there is currently uncertainty about the future trends of major upwelling systems and how their drivers (enhanced productivity, acidification and hypoxia) will shape ecosystem characteristics",low,0,test,low,True
3865,AR6_WGII,465,7,"Acute mortality of some reef-forming cold-water corals to laboratory-simulated warming (Lunden et al., 2014) suggests that both long-term warming and the increase of MHWs in intermediate and deep waters (Elzahaby and Schaeffer, 2019) could pose significant risk to associated ecosystems",high,2,test,medium,False
3872,AR6_WGII,467,5,"Biodiversity has changed in association with ocean warming and loss of sea ice, sea level rise, coral bleaching, marine heat waves and upwelling changes",high,2,test,high,True
3887,AR6_WGII,469,7,"Long-term loss and degradation of marine ecosystems compromises the ocean’s role in cultural, recreational, and intrinsic values important for human identity and well-being",medium,1,test,very high,False
3908,AR6_WGII,472,3,"Because ooligan spawning relies on the timing of the spring freshet, and because the species has declined in the past 25 years due to fishing pressure and predation, the species may be at risk from combined climate-induced and non-climate drivers",medium,1,test,medium,True
3942,AR6_WGII,487,7,"Restoring coral reefs, oyster reefs and mangroves (Section 3.6.2.1) and protecting macrophyte meadows dissipates wave energy (Section 3.4.2.1; Yates et al., 2017; Beck et al., 2018; Wiberg et al., 2019; Menéndez et al., 2020), accretes sediment and elevate shorelines, which reduces exposure to waves and storm surges, and offsets erosional losses",medium,1,test,high,False
3950,AR6_WGII,488,7,"The largest observed changes in coastal ecosystems are being caused by the concurrence of human activities, waves, current-induced sediment transport and extreme storm events",medium,1,test,high,False
3976,AR6_WGII,499,1,Recent evidence suggests that policies supporting local institutions can improve adaptation outcomes,medium,1,test,medium,True
4048,AR6_WGII,581,1,"Global mean soil moisture has slightly decreased, but regional changes vary, with both increases and decreases of 20% or more in some regions",medium,1,test,medium,True
4052,AR6_WGII,581,19,"During the last two decades, the global glacier mass loss rate exceeded 0.5-meter water equivalent (m w.e.) per year compared to an average of 0.33 m w.e. yr–1 in 1950–2000. This volume of mass loss is the highest since the start of the entire observation period",very high,3,test,very high,True
4080,AR6_WGII,595,26,Drought has been singled out as a major driver of yield reductions globally,high,2,test,high,True
4145,AR6_WGII,622,10,An emerging body of studies have projected amplification of episodic recharge in the tropics and semiarid regions due to extreme precipitation under global warming,medium,1,test,medium,True
4190,AR6_WGII,635,2,"There is high confidence that water-related adaptation is occurring in the agricultural sector (Acevedo et al., 2020; Ricciardi et al., 2020), and water-related adaptation in the agricultural sector makes up the majority of documented local, regional and global evidence of implemented adaptation",high,2,test,high,True
4239,AR6_WGII,661,12,Water-related impacts that occurred despite implemented adaptation have been documented across all world regions,high,2,test,high,True
4253,AR6_WGII,667,2,"Water-related technologies can also have adverse distributional outcomes when gains from technology adoption accrue disproportionately to a small section of the population; for example, only rich and male farmers can adopt high-cost technologies like solar irrigation pumps (Gupta, 2019)",medium,1,test,medium,True
4254,AR6_WGII,667,14,"Such financing focuses on returns and scale (Cholibois, 2020), and as such, local needs, especially those of the poor, may not be adequately represented (Manuamorn et al., 2020; Williams, 2020)",medium,1,test,medium,True
