,input,source,prediction
174,Sheds are all exactly the same.,feverrefuted,high
175,Maria I of Portugal was Queen of al-Andulus.,feverrefuted,very high
176,Pixar was funded by an Indian industrial designer.,feverrefuted,low
177,Formula One cars are not capable of lateral acceleration in excess of six g in corners.,feverrefuted,high
178,Venom has since become less of an antihero.,feverrefuted,high
179,Constantine is a film that has nothing to do with an occult detective.,feverrefuted,high
180,Burundi has a temperate climate.,feverrefuted,high
181,Harry Potter is a romantic series.,feverrefuted,high
182,Rob Lowe is not American.,feverrefuted,high
183,The IBRO rates George Foreman as the eighth greatest ballplayer of all time.,feverrefuted,high
184,Bill Nye began his career as an electrical engineer.,feverrefuted,high
185,Socrates was Roman.,feverrefuted,low
186,Arya Stark is incapable of wielding any weapons.,feverrefuted,very high
187,Anna Paquin was killed in Omaha.,feverrefuted,low
188,The first season of Outlander (TV series) is based on a movie.,feverrefuted,high
189,WALL-E lost all Hugo Awards nominations.,feverrefuted,very high
190,Superman was a car.,feverrefuted,low
191,Lisa Kudrow refused to work on any shows that aired on Showtime.,feverrefuted,high
192,A crown colony is against the British Empire.,feverrefuted,high
193,Jon Huntsman Jr. did not work for the 40th President of the United States.,feverrefuted,high
194,Tim Rice worked on anything except Aladdin.,feverrefuted,high
195,The Minnesota Vikings is a basketball team.,feverrefuted,low
196,Audrey Horne was introduced in a movie.,feverrefuted,high
197,In Her Shoes was adapted from a novella.,feverrefuted,high
198,Howard Hughes never produced Scarface.,feverrefuted,very high
199,Doctor Who is not a television show.,feverrefuted,high
200,Britney Spears acts.,feverclaim,high
201,"Steffi Graf was born on June 14, 1969.",feverclaim,high
202,Elizabeth Taylor acted in films in the 1960's.,feverclaim,high
203,"Superunknown sold 310,000 copies.",feverclaim,high
204,1989 was the year Molly Bernard was born.,feverclaim,high
205,Labor Pains was released on August 4 in the United States and August 31 in the United Kingdom.,feverclaim,high
206,The OA is a TV series.,feverclaim,high
207,A Song of Ice and Fire takes place in multiple continents.,feverclaim,high
208,Overwatch is a video game.,feverclaim,high
209,"Assyrian people speak modern Aramaic, as well as another language, dependent on the country of residence.",feverclaim,high
210,Nosedive is an episode of Black Mirror.,feverclaim,high
211,Katie Stevens' birthday is December 8.,feverclaim,high
212,Bangalore was controlled by a Maharaja.,feverclaim,high
213,Cheyenne Jackson appeared in United 93.,feverclaim,high
214,The gray wolf is a species of Canis with a range of including both the New and Old Worlds.,feverclaim,high
215,Robert Browning was a playwright.,feverclaim,high
216,Evil is commonly associated with anger.,feverclaim,high
217,Donald Trump was raised in Queens.,feverclaim,high
218,Steve Buscemi was in films in the 1990's.,feverclaim,high
219,Coldplay released an EP with Parlophone.,feverclaim,high
220,Shakira sings.,feverclaim,high
221,A Monster Calls is of the fantasy drama genre.,feverclaim,high
222,John McCain made campaign finance maintenance one of his signature concerns.,feverclaim,high
223,There are characters who travel with Doctor Who,feverclaim,high
224,Wonder Woman is skilled in hunting.,feverclaim,high
225,Jean-Martin Charcot was from France.,feverclaim,high
226,Romelu Lukaku moved to Anderlecht in Brussels.,feverclaim,high
227,Marlon Brando was included in something.,feverclaim,high
228,Chris Mckenna is a person.,feverclaim,high
229,Frank Ocean was born Christopher Edwin Breaux on October 28 in 1987.,feverclaim,high
230,The Host stars an actress born on April 12.,feverclaim,high
231,FC Barcelona is a football club.,feverclaim,high
232,Inside Man stars Denzel Washington as Keith Frazier.,feverclaim,high
233,Steven Spielberg is forty years old or older.,feverclaim,high
234,Garry Kasparov's nationality is Russian.,feverclaim,high
235,Noam Chomsky went to a university at age sixteen.,feverclaim,high
236,Jack Nicholson has played someone who rebels against the social structure.,feverclaim,high
237,Theodore Roosevelt walked out at one point.,feverclaim,high
238,Shifty was written and directed by Eran Creevy.,feverclaim,high
239,Steve Mouzakis was in the cast of a film directed by Dru Brown.,feverclaim,high
240,Emma Stone was started acting in her childhood.,feverclaim,high
241,Theodore Roosevelt founded a progressive party.,feverclaim,high
242,The Evil Queen has been voiced by Eleanor Audley.,feverclaim,high
243,Aaliyah was a United States citizen.,feverclaim,high
244,"Throughout Asia, Yelp expanded.",feverclaim,high
245,"Peer Astrom has worked with Celine Dion, Lara Fabian, and Enrique Iglesias.",feverclaim,high
246,David Mazouz was in Gotham.,feverclaim,high
247,Erich von Manstein was born in the 19th century.,feverclaim,high
248,Cate Blanchett was nominated for an Academy Award in 1998.,feverclaim,high
249,The Entire History of You was penned by the inventor of a dramedy from the UK.,feverclaim,high
250,A film starring Sharon Tate also starred her husband.,feverclaim,high
251,"Stratford, London is in east London, England.",feverclaim,high
252,George W. Romney was married to a celebrity.,feverclaim,high
253,"The television series Fargo has an anthology format, setting each season in a different era with a different story and cast.",feverclaim,very high
254,Cancer can be prevented by taking certain measures.,feverclaim,high
255,SpaceX is a private company.,feverclaim,high
256,Rod Serling argued with the people who sponsor television.,feverclaim,high
257,Planet of the Apes (1968 film) was shot in three different states.,feverclaim,high
258,Thor: The Dark World is a superhero movie.,feverclaim,high
259,Elephants have been portrayed in popular culture.,feverclaim,high
260,Lady Gaga is known for her provocative projects.,feverclaim,high
261,Record viewership has been achieved by HBO broadcasts of Game of Thrones.,feverclaim,very high
262,"Bermuda is an associate member of the Caribbean Community, with the capital of Hamilton.",feverclaim,high
263,"Newcastle United F.C. has multiple sports awards like four League Championship titles, six FA Cups, a Charity Shield, a 1969 Inter-Cities Fairs Cups and the 2006 UEFA Intertoto Cup.",feverclaim,high
264,Vladimir Putin achieved success in the presidential election.,feverclaim,very high
265,The Silence of the Lambs is about apprehending a serial killer.,feverclaim,high
266,Tanzania is in Africa.,feverclaim,very high
267,Sir Lenny Henry worked with Richard Curtis.,feverclaim,high
268,Rachel McAdams acted during 2015.,feverclaim,high
269,Lee Min-ho was the lead role in Bounty Hunters.,feverclaim,high
270,Pluto has something in its orbit.,feverclaim,high
271,The brown bear is an animal.,feverclaim,high
272,Ozzy Osbourne sold over 100 million total albums.,feverclaim,very high
273,Aruba has reliably warm weather.,feverclaim,very high
274,2002 was a year when Michael Schumacher won a title.,feverclaim,high
275,Chester Bennington is a person.,feverclaim,high
276,50 Cent raps.,feverclaim,high
277,Kate Nash has a single song called Foundations.,feverclaim,high
278,George Best was born.,feverclaim,high
279,Liverpool F.C. is not a team in Premier League.,feverclaim,high
280,"Providence, Rhode Island was founded by a Puritan.",feverclaim,high
281,Régine Chassagne is from Canada.,feverclaim,high
282,Tom Hanks has been awarded a Kennedy Center Honor.,feverclaim,very high
283,There is a game that is still played competitively over 20 years after its original release called Super Street Fighter II Turbo.,feverclaim,high
284,Harry Styles and his bandmates released the single Take Me Home.,feverclaim,high
285,Seth MacFarlane created Family Guy.,feverclaim,high
286,"Thailand is smaller than 49 other countries, with a total area of approximately 513,000 square kilometers.",feverclaim,high
287,Sicario (2015 film) was nominated for a BAFTA award.,feverclaim,high
288,Frank Ocean released a single.,feverclaim,high
289,The most populous island of Indonesia is called Java.,feverclaim,high
290,Tim Rice wrote a musical.,feverclaim,high
291,Dhool featured Jyothika in a lead role.,feverclaim,high
292,Michael C. Hall won an award.,feverclaim,high
293,There is a guest house in the Taj Mahal.,feverclaim,high
294,Beauty Shop is a cinematic work.,feverclaim,very high
295,James A. Woods starred in Hatley High.,feverclaim,high
296,To Kill a Mockingbird explores at least one theme.,feverclaim,high
297,Heartbreak Ridge was produced by Clint Eastwood.,feverclaim,high
298,Hacksaw Ridge was released.,feverclaim,high
299,Dr. Dre was a hip-hop artist on Death Row Records.,feverclaim,high
300,Aides to President Joe Biden discovered at least one additional batch of classified documents in his home garage in Delaware.,onion,high
301,"After 15 votes and multiple days of negotiations, Rep. Kevin McCarthy (R-CA) finally won his bid to become speaker of the House.",onion,very high
302,New York Republican officials have called on embattled Rep. George Santos to resign from office over his lies to voters and fabrications about his personal life.,onion,high
303,"Pizza Hut has broken the world record for the world’s largest pizza, making a nearly 14,000 square-foot New York-style pizza capable of serving 68,000 slices. ",onion,very high
304,Americans across the country just love to cram pizza into their gaping maws.,onion,high
305," French president Emmanuel Macron has announced that starting in 2023, condoms would be made available for free in pharmacies for 18- to 25-year-olds in a bid to reduce the spread of STIs, which increased by 30% over the last two years.",onion,high
306,"Hoping to allay voters’ concerns about the president’s age, officials at the White House are now just saying that Joe Biden is 52 years old, sources confirmed.",onion,high
307,"Tugging on the leash with a groan while walking his easily distracted dog, local man Kenneth Granger announced Monday that he would be the judge of what warranted sniffing. ",onion,high
308,"Decorated with hearts and smiley faces, a note from a Shein factory worker found Tuesday in local woman Amelia Benson’s order described how much the employee loves doing sweatshop labor for the fast-fashion company. ",onion,high
309,The Labor Department found that a major U.S. sanitation company illegally employed at least 102 children as young as 13 at over a dozen slaughterhouses in jobs that had them using caustic chemicals to clean razor-sharp saws.,onion,very high
310,The Kansas City Chiefs captured their second championship in four seasons after Harrison Butker kicked the game-winning field goal of Super Bowl LVII to secure a 38-35 win over the Philadelphia Eagles.,onion,very high
311,"In an effort to offer the American people full transparency, Defense Department officials confirmed that the unidentified flying objects shot down by the military were just regular planes, and the nation had just been really high.",onion,high
312,Several states have recently introduced bills to eliminate age verification for young workers.,onion,high
313,"In an effort to prevent needless eating among those in poverty, Congress passed legislation that makes it illegal to use food stamps on anything other than rutabagas. ",onion,very high
314,"Living longer than any citizen in the nation’s history, Gus Rolnicki, the world’s oldest American, passed away Tuesday at the age of 72.",onion,high
315,"Following orders to obtain vital scientific knowledge through any means necessary, a team of biologists at Harvard University tortured an amoeba in an attempt to extract information on where life came from, sources confirmed.",onion,very high
316,"Following a sudden jolt and an ear-splitting boom, oxygen masks reportedly dropped from the nation’s ceilings Wednesday after the Earth hit a rough patch in orbit.",onion,very high
317,"The Guantánamo Bay detention camp in Cuba welcomed its first detainees 20 years ago, inaugurating one of the most controversial elements of the U.S. war on terror.",onion,high
318,"Christopher Key, the leader of the “Vaccine Police” organization that opposes Covid-19 vaccinations, recently shared that drinking urine could cure coronavirus. ",onion,very high
319,Hundreds of drivers in Virginia were stuck for almost 24 hours earlier this week after a multi-truck crash was exacerbated by a blizzard.,onion,high
320,"Betty White died on Dec. 31, 2021, after an entertainment career spanning seven decades.",onion,very high
321,The Republican Party is putting $1.6 million toward helping former President Trump pay for “certain legal expenses that relate to politically motivated legal proceedings waged against” him. ,onion,high
322,"Arthur, the longest-running children’s animated series in the history of American television, has ended with its 25th season, the final episode, titled “All Grown Up,” taking place 20 years into the future when the characters are adults. ",onion,very high
323,Researchers in Switzerland have developed a spinal cord implant that uses a nerve-stimulating device controlled by a touchscreen tablet that has already allowed for a paralyzed man with a completely severed spine to walk again.,onion,very high
324,"Reflecting on the path his career had almost taken, former President Barack Obama revealed in an interview that he almost passed on the presidency for a chance to direct Leatherheads.",onion,very high
325,"In more bad news for the U.S. economy, consumer confidence is down sharply this week, particularly among those in the market for a used 1994 Chevy Astro, van owner Dennis Schram reported.",onion,low
326,Upper-middle-class homemaker Irene Risser expressed fear that there exists a gourmet coffee superior to the brands she currently buys. ,onion,high
327,"Winona Ryder was convicted of shoplifting $5,500 worth of merchandise from a Beverly Hills Saks Fifth Avenue.",onion,high
328,"The filthy, disorganized apartment shared by three members of the Amherst College Marxist Society is a microcosm of why the social and economic utopia described in the writings of Karl Marx will never come to fruition, sources reported.",onion,very high
329,"Months of research and development by a team of India's top physicists have resulted in an ambitious plan to get them the hell out of the overcrowded, impoverished nuclear powderkeg, sources revealed.",onion,very high
330,The longtime suspicions of White House supervisors were confirmed when Vice-President Dick Cheney was caught moonlighting at a D.C.-area Denny's restaurant.,onion,very high
331,"Efforts to pass legislation restricting Internet ""spam""—unsolicited mass e-mails usually for advertising purposes—are meeting with strong resistance from the nation's powerful penis-enlargement lobby.",onion,very high
332,"Covering beats as diverse as Crestline city government, Crestline High School football, and Crestline births and deaths, Crestline Gazette reporter Jerry Schoepke writes an estimated 80 percent of the weekly community newspaper.",onion,high
333,"Devastated by the dot-com collapse, Silicon Valley is beginning to rebound.",onion,high
334,Members of the national media watchdog group Fairness and Accuracy In Reporting released a 255-page report criticizing the American media for severely biased local sports coverage.,onion,high
335,"In an effort to put the man’s behavior into context by describing it as part of an intergenerational cycle of violence, a psychologist stated Friday that local 38-year-old Todd Adelwright mostly likely abused his dog because he had been abused by the dog who owned him as a child.",onion,high
336,"In an effort to address mounting pressure from environmental advocates, cryptocurrency executives attempted to address criticism over the massive carbon footprint of their technology by unveiling a digital avatar of a glacier.",onion,high
