,filenames,page_num,sent_num,text,confidence_rating
14,data/raw/IPCC_AR6_WGI_FullReport.pdf,25,5,Event attribution studies and physical understanding indicate that human-induced climate change increases heavy precipitation associated with tropical cyclones ,high
15,data/raw/IPCC_AR6_WGI_FullReport.pdf,25,7,"This includes increases in the frequency of concurrent heatwaves and droughts on the global scale (high confidence), fire weather in some regions of all inhabited continents (medium confidence), and compound flooding in some locations ",medium
16,data/raw/IPCC_AR6_WGI_FullReport.pdf,27,21,"The remainder is due to improved scientific understanding and changes in the assessment of aerosol forcing, which include decreases in concentration and improvement in its calculation ",high
17,data/raw/IPCC_AR6_WGI_FullReport.pdf,27,23,The observed average rate of heating of the climate system increased from 0.50 [0.32 to 0.69] W m–2 for the period 1971–200619 to 0.79 [0.52 to 1.06] W m–2 for the period 2006–201820 ,high
18,data/raw/IPCC_AR6_WGI_FullReport.pdf,27,24,"Ocean warming accounted for 91% of the heating in the climate system, with land warming, ice loss and atmospheric warming accounting for about 5%, 3% and 1%, respectively ",high
19,data/raw/IPCC_AR6_WGI_FullReport.pdf,27,28,"Together, ice-sheet and glacier mass loss were the dominant contributors to global mean sea level rise during 2006–2018 ",high
20,data/raw/IPCC_AR6_WGI_FullReport.pdf,27,30,"Based on multiple lines of evidence,21 the very likely range of equilibrium climate sensitivity is between 2°C (high confidence) and 5°C ",medium
21,data/raw/IPCC_AR6_WGI_FullReport.pdf,27,31,The AR6 assessed best estimate is 3°C with a likely range of 2.5°C to 4°C ,high
22,data/raw/IPCC_AR6_WGI_FullReport.pdf,31,7,"For example, every additional 0.5°C of global warming causes clearly discernible increases in the intensity and frequency of hot extremes, including heatwaves (very likely), and heavy precipitation (high confidence), as well as agricultural and ecological droughts30 in some regions ",high
23,data/raw/IPCC_AR6_WGI_FullReport.pdf,31,8,"Discernible changes in intensity and frequency of meteorological droughts, with more regions showing increases than decreases, are seen in some regions for every additional 0.5°C of global warming ",medium
24,data/raw/IPCC_AR6_WGI_FullReport.pdf,31,9,Increases in frequency and intensity of hydrological droughts become larger with increasing global warming in some regions ,medium
25,data/raw/IPCC_AR6_WGI_FullReport.pdf,31,11,Projected percentage changes in frequency are larger for rarer events ,high
26,data/raw/IPCC_AR6_WGI_FullReport.pdf,31,13,"The Arctic is projected to experience the highest increase in the temperature of the coldest days, at about three times the rate of global warming ",high
27,data/raw/IPCC_AR6_WGI_FullReport.pdf,31,14,"With additional global warming, the frequency of marine heatwaves will continue to increase (high confidence), particularly in the tropical ocean and the Arctic ",medium
28,data/raw/IPCC_AR6_WGI_FullReport.pdf,32,1,"At the global scale, extreme daily precipitation events are projected to intensify by about 7% for each 1°C of global warming ",high
29,data/raw/IPCC_AR6_WGI_FullReport.pdf,32,2,The proportion of intense tropical cyclones (Category 4–5) and peak wind speeds of the most intense tropical cyclones are projected to increase at the global scale with increasing global warming ,high
30,data/raw/IPCC_AR6_WGI_FullReport.pdf,35,20,The portion of the global land experiencing detectable increases or decreases in seasonal mean precipitation is projected to increase ,medium
31,data/raw/IPCC_AR6_WGI_FullReport.pdf,35,25,The monsoon season is projected to have a delayed onset over North and South America and West Africa (high confidence) and a delayed retreat over West Africa ,medium
32,data/raw/IPCC_AR6_WGI_FullReport.pdf,36,1,This is projected to result in a higher proportion of emitted CO 2 remaining in the atmosphere ,high
33,data/raw/IPCC_AR6_WGI_FullReport.pdf,36,3,"Under the very low and low GHG emissions scenarios (SSP1-1.9, SSP1-2.6), where CO 2 concentrations peak and decline during the 21st century, the land and ocean begin to take up less carbon in response to declining atmospheric CO 2 concentrations (high confidence) and turn into a weak net source by 2100 under SSP1-1.9 ",medium
34,data/raw/IPCC_AR6_WGI_FullReport.pdf,36,5,"However, climate model projections show that the uncertainties in atmospheric CO 2 concentrations by 2100 are dominated by the differences between emissions scenarios ",high
35,data/raw/IPCC_AR6_WGI_FullReport.pdf,36,6,"Additional ecosystem responses to warming not yet fully included in climate models, such as CO 2 and CH 4 fluxes from wetlands, permafrost thaw and wildfires, would further increase concentrations of these gases in the atmosphere ",high
36,data/raw/IPCC_AR6_WGI_FullReport.pdf,37,7,"Based on multiple lines of evidence, upper ocean stratification (virtually certain), ocean acidification (virtually certain) and ocean deoxygenation ",high
37,data/raw/IPCC_AR6_WGI_FullReport.pdf,37,8,"Changes are irreversible on centennial to millennial time scales in global ocean temperature (very high confidence), deep-ocean acidification (very high confidence) and deoxygenation ",medium
38,data/raw/IPCC_AR6_WGI_FullReport.pdf,37,10,Loss of permafrost carbon following permafrost thaw is irreversible at centennial time scales ,high
39,data/raw/IPCC_AR6_WGI_FullReport.pdf,37,14,"Relative to 1995–2014, the likely global mean sea level rise by 2100 is 0.28–0.55 m under the very low GHG emissions scenario (SSP1-1.9); 0.32–0.62 m under the low GHG emissions scenario (SSP1-2.6); 0.44–0.76 m under the intermediate GHG emissions scenario (SSP2-4.5); and 0.63–1.01 m under the very high GHG emissions scenario (SSP5-8.5); and by 2150 is 0.37–0.86 m under the very low scenario (SSP1-1.9); 0.46–0.99 m under the low scenario (SSP1-2.6); 0.66–1.33 m under the intermediate scenario (SSP2-4.5); and 0.98–1.88 m under the very high scenario (SSP5-8.5) (medium confidence).35 Global mean sea level rise above the likely range – approaching 2 m by 2100 and 5 m by 2150 under a very high GHG emissions scenario (SSP5-8.5) ",low
40,data/raw/IPCC_AR6_WGI_FullReport.pdf,37,16,"Over the next 2000 years, global mean sea level will rise by about 2 to 3 m if warming is limited to 1.5°C, 2 to 6 m if limited to 2°C and 19 to 22 m with 5°C of warming, and it will continue to rise over subsequent millennia ",low
41,data/raw/IPCC_AR6_WGI_FullReport.pdf,37,17,"Projections of multi-millennial global mean sea level rise are consistent with reconstructed levels during past warm climate periods: likely 5–10 m higher than today around 125,000 years ago, when global temperatures were very likely 0.5°C–1.5°C higher than 1850–1900; and very likely 5–25 m higher roughly 3 million years ago, when global temperatures were 2.5°C–4°C higher ",medium
42,data/raw/IPCC_AR6_WGI_FullReport.pdf,39,32,"For example, internal decadal variability and variations in solar and volcanic drivers partially masked human-caused surface global warming during 1998–2012, with pronounced regional and seasonal signatures ",high
43,data/raw/IPCC_AR6_WGI_FullReport.pdf,39,33,"Nonetheless, the heating of the climate system continued during this period, as reflected in both the continued warming of the global ocean (very high confidence) and in the continued rise of hot extremes over land ",medium
44,data/raw/IPCC_AR6_WGI_FullReport.pdf,40,1,"At global and regional scales, near-term changes in monsoons will be dominated by the effects of internal variability ",medium
45,data/raw/IPCC_AR6_WGI_FullReport.pdf,40,2,"In addition to the influence of internal variability, near-term projected changes in precipitation at global and regional scales are uncertain because of model uncertainty and uncertainty in forcings from natural and anthropogenic aerosols ",medium
46,data/raw/IPCC_AR6_WGI_FullReport.pdf,40,8,"Further decreases are projected in permafrost; snow, glaciers and ice sheets; and lake and Arctic sea ice (medium to high confidence).40 These changes would be larger at 2°C global warming or above than at 1.5°C ",high
47,data/raw/IPCC_AR6_WGI_FullReport.pdf,40,9,"For example, extreme heat thresholds relevant to agriculture and health are projected to be exceeded more frequently at higher global warming levels ",high
48,data/raw/IPCC_AR6_WGI_FullReport.pdf,40,11,"Also, more frequent and/or severe agricultural and ecological droughts are projected in a few regions in all inhabited continents except Asia compared to 1850–1900 (medium confidence); increases in meteorological droughts are also projected in a few regions ",medium
49,data/raw/IPCC_AR6_WGI_FullReport.pdf,40,12,A small number of regions are projected to experience increases or decreases in mean precipitation ,medium
50,data/raw/IPCC_AR6_WGI_FullReport.pdf,40,14,Heavy precipitation and associated flooding events are projected to become more intense and frequent in the Pacific Islands and across many regions of North America and Europe (medium to high confidence).40 These changes are also seen in some regions in Australasia and Central and South America ,medium
51,data/raw/IPCC_AR6_WGI_FullReport.pdf,40,16,"A small number of regions in Africa, Australasia, Europe and North America are also projected to be affected by increases in hydrological droughts, and several regions are projected to be affected by increases or decreases in meteorological droughts, with more regions displaying an increase ",medium
52,data/raw/IPCC_AR6_WGI_FullReport.pdf,40,17,"Mean precipitation is projected to increase in all polar, northern European and northern North American regions, most Asian regions and two regions of South America ",high
53,data/raw/IPCC_AR6_WGI_FullReport.pdf,41,1,Region-specific changes include intensification of tropical cyclones and/or extratropical storms ,medium
54,data/raw/IPCC_AR6_WGI_FullReport.pdf,41,3,Approximately two-thirds of the global coastline has a projected regional relative sea level rise within ±20% of the global mean increase ,medium
55,data/raw/IPCC_AR6_WGI_FullReport.pdf,41,4,"Due to relative sea level rise, extreme sea level events that occurred once per century in the recent past are projected to occur at least annually at more than half of all tide gauge locations by 2100 ",high
56,data/raw/IPCC_AR6_WGI_FullReport.pdf,41,5,Relative sea level rise contributes to increases in the frequency and severity of coastal flooding in low-lying areas and to coastal erosion along most sandy coasts ,high
57,data/raw/IPCC_AR6_WGI_FullReport.pdf,41,7,Urbanization also increases mean and heavy precipitation over and/or downwind of cities (medium confidence) and resulting runoff intensity ,high
58,data/raw/IPCC_AR6_WGI_FullReport.pdf,41,8,"In coastal cities, the combination of more frequent extreme sea level events (due to sea level rise and storm surge) and extreme rainfall/ riverflow events will make flooding more probable ",high
59,data/raw/IPCC_AR6_WGI_FullReport.pdf,41,11,"Concurrent extremes at multiple locations, including in crop-producing areas, become more frequent at 2°C and above compared to 1.5°C global warming ",high
60,data/raw/IPCC_AR6_WGI_FullReport.pdf,43,4,"The probability of low-likelihood, high-impact outcomes increases with higher global warming levels ",high
61,data/raw/IPCC_AR6_WGI_FullReport.pdf,43,5,"Abrupt responses and tipping points of the climate system, such as strongly increased Antarctic ice-sheet melt and forest dieback, cannot be ruled out ",high
62,data/raw/IPCC_AR6_WGI_FullReport.pdf,45,13,"When adjusted for emissions since previous reports, estimates of remaining carbon budgets are therefore of similar magnitude compared to SR1.5 but larger compared to AR5 due to methodological improvements.44 {5.5, Box 5.2, TS.3.3} (Table SPM.2) D.1.4 Anthropogenic CO 2 removal (CDR) has the potential to remove CO 2 from the atmosphere and durably store it in reservoirs ",high
63,data/raw/IPCC_AR6_WGI_FullReport.pdf,45,15,"CDR methods can have potentially wide-ranging effects on biogeochemical cycles and climate, which can either weaken or strengthen the potential of these methods to remove CO 2 and reduce warming, and can also influence water availability and quality, food production and biodiversity45 ",high
64,data/raw/IPCC_AR6_WGI_FullReport.pdf,46,1,CDR would lower atmospheric CO 2 by an amount approximately equal to the increase from an anthropogenic emission of the same magnitude ,high
65,data/raw/IPCC_AR6_WGI_FullReport.pdf,46,2,"The atmospheric CO 2 decrease from anthropogenic CO 2 removals could be up to 10% less than the atmospheric CO 2 increase from an equal amount of CO 2 emissions, depending on the total amount of CDR ",medium
66,data/raw/IPCC_AR6_WGI_FullReport.pdf,46,4,"For instance, it would take several centuries to millennia for global mean sea level to reverse course even under large net negative CO 2 emissions ",high
67,data/raw/IPCC_AR6_WGI_FullReport.pdf,46,6,"In the long term, this net warming is lower in scenarios assuming air pollution controls combined with strong and sustained CH 4 emissions reductions ",high
68,data/raw/IPCC_AR6_WGI_FullReport.pdf,46,8,"Because of the short lifetime of both CH 4 and aerosols, these climate effects partially counterbalance each other, and reductions in CH 4 emissions also contribute to improved air quality by reducing global surface ozone ",high
69,data/raw/IPCC_AR6_WGI_FullReport.pdf,46,12,Emissions pathways that reach and sustain net zero GHG emissions defined by the 100-year global warming potential are projected to result in a decline in surface temperature after an earlier peak ,high
70,data/raw/IPCC_AR6_WGI_FullReport.pdf,46,14,"Under these contrasting scenarios, discernible differences in trends of global surface temperature would begin to emerge from natural variability within around 20 years, and over longer time periods for many other climatic impact-drivers ",high
71,data/raw/IPCC_AR6_WGI_FullReport.pdf,46,16,"Global and regional climate responses to this temporary forcing are, however, undetectable above natural variability ",high
72,data/raw/IPCC_AR6_WGI_FullReport.pdf,46,17,"Atmospheric CO 2 concentrations continued to rise in 2020, with no detectable decrease in the observed CO 2 growth rate ",medium
73,data/raw/IPCC_AR6_WGI_FullReport.pdf,47,1,"Scenarios with targeted reductions of air pollutant emissions lead to more rapid improvements in air quality within years compared to reductions in GHG emissions only, but from 2040, further improvements are projected in scenarios that combine efforts to reduce air pollutants as well as GHG emissions, with the magnitude of the benefit varying between regions ",high
74,data/raw/IPCC_AR6_WGI_FullReport.pdf,47,5,The response of many other climate variables would emerge from natural variability at different times later in the 21st century ,high
75,data/raw/IPCC_AR6_WGI_FullReport.pdf,47,7,"By the end of the century, scenarios with very low and low GHG emissions would strongly limit the change of several CIDs, such as the increases in the frequency of extreme sea level events, heavy precipitation and pluvial flooding, and exceedance of dangerous heat thresholds, while limiting the number of regions where such exceedances occur, relative to higher GHG emissions scenarios ",high
76,data/raw/IPCC_AR6_WGI_FullReport.pdf,47,8,"Changes would also be smaller in very low compared to low GHG emissions scenarios, as well as for intermediate (SSP2-4.5) compared to high or very high GHG emissions scenarios ",high
77,data/raw/IPCC_AR6_WGI_FullReport.pdf,57,25,"Since 2012, strong warming has been observed, with the past five years (2016–2020) being the hottest five- year period in the instrumental record since at least 1850 ",high
78,data/raw/IPCC_AR6_WGI_FullReport.pdf,62,1,"Changes in temperature by latitude in response to multiple forcings show that polar amplification (stronger warming at high latitudes than the global average) is a prominent feature of the climate system across multiple climate states, and the ability of models to simulate this polar amplification in past warm climates has improved since AR5 ",high
79,data/raw/IPCC_AR6_WGI_FullReport.pdf,62,2,"Over the past millennium, and especially since about 1300 CE, simulated global surface temperature anomalies are well within the uncertainty of reconstructions ",medium
80,data/raw/IPCC_AR6_WGI_FullReport.pdf,62,7,Model uncertainties in (a) and (b) are 5–95% ranges of multi-model ensemble means; reconstructed uncertainties are 5–95% ranges ,medium
81,data/raw/IPCC_AR6_WGI_FullReport.pdf,62,15,"Climate models are able to reproduce decadal drought variability on large regional scales, including the severity, persistence and spatial extent of past megadroughts known from proxy records ",medium
82,data/raw/IPCC_AR6_WGI_FullReport.pdf,63,1,"Although past and future global warming differ in their forcings, evidence from paleoclimate records and modelling show that ice-sheet mass and global mean sea level (GMSL) responded dynamically over multiple millennia ",high
83,data/raw/IPCC_AR6_WGI_FullReport.pdf,63,3,"For example, under a past global warming levels of around [2.5°C to 4°C] relative to 1850–1900, like during the mid-Pliocene Warm Period, sea level was [5 to 25 m] higher than 1900 (medium confidence); under past global warming levels of [10°C to 18°C], like during the Early Eocene, the planet was essentially ice free ",high
84,data/raw/IPCC_AR6_WGI_FullReport.pdf,63,8,"This paleo context supports the assessment that ongoing increase in ocean heat content (OHC) represents a long-term commitment (see Core Concepts Box), essentially irreversible on human time scales ",high
85,data/raw/IPCC_AR6_WGI_FullReport.pdf,63,16,"At the same time, the storage of remineralized carbon in the ocean interior increased by as much as 750–950 PgC, sufficient to balance the removal of carbon from the atmosphere (200 PgC) and terrestrial biosphere reservoirs combined ",high
86,data/raw/IPCC_AR6_WGI_FullReport.pdf,64,16,Increasing horizontal resolution in global climate models improves the representation of small-scale features and the statistics of daily precipitation ,high
87,data/raw/IPCC_AR6_WGI_FullReport.pdf,64,17,"Earth system models, which include additional biogeochemical feedbacks, often perform as well as their lower-complexity global climate model counterparts, which do not account for these additional feedbacks ",medium
88,data/raw/IPCC_AR6_WGI_FullReport.pdf,64,26,"Earth system models, characterized by additional biogeochemical feedbacks, often perform at least as well as related, more constrained, lower-complexity models lacking these feedbacks ",medium
89,data/raw/IPCC_AR6_WGI_FullReport.pdf,64,29,"The CMIP6 models also reproduce surface temperature variations over the past millennium, including the cooling that follows periods of intense volcanism ",medium
90,data/raw/IPCC_AR6_WGI_FullReport.pdf,65,4,"Because a negative cloud optical depth feedback in response to surface warming results from ‘brightening’ of clouds via active phase change from ice to liquid cloud particles (increasing their shortwave cloud radiative effect), the extratropical cloud shortwave feedback in CMIP6 models tends to be less negative, leading to a better agreement with observational estimates ",medium
91,data/raw/IPCC_AR6_WGI_FullReport.pdf,65,7,Increasing horizontal resolution in global climate models improves the representation of small-scale features and the statistics of daily precipitation ,high
92,data/raw/IPCC_AR6_WGI_FullReport.pdf,65,11,The overall performance of CMIP6 models in simulating the intensity and frequency of extreme precipitation is similar to that of CMIP5 models ,high
93,data/raw/IPCC_AR6_WGI_FullReport.pdf,65,21,Models reproduce observed spatial features and variance of the Southern Annular Mode (SAM) and Northern Annular Mode (NAM) very well ,high
94,data/raw/IPCC_AR6_WGI_FullReport.pdf,65,22,"The summertime SAM trend is well captured, with CMIP6 models outperforming CMIP5 models ",medium
95,data/raw/IPCC_AR6_WGI_FullReport.pdf,65,25,"Model performance is limited in reproducing sea surface temperature anomalies for decadal modes of variability, despite improvements from CMIP5 to CMIP6 ",medium
96,data/raw/IPCC_AR6_WGI_FullReport.pdf,65,30,"These higher sensitivity values can, in some models, be traced to changes in extratropical cloud feedbacks ",medium
97,data/raw/IPCC_AR6_WGI_FullReport.pdf,66,12,"The signal of temperature change has emerged more clearly in tropical regions, where year-to-year variations tend to be small over land, than in regions with greater warming but larger year- to-year variations ",high
98,data/raw/IPCC_AR6_WGI_FullReport.pdf,66,17,Hot extremes also continued to increase during this period over land ,high
99,data/raw/IPCC_AR6_WGI_FullReport.pdf,67,1,"Simulations and understanding of modes of climate variability, including teleconnections, have improved since AR5 ",medium
100,data/raw/IPCC_AR6_WGI_FullReport.pdf,67,3,"While anthropogenic forcing has contributed to multi-decadal mean precipitation changes in several regions, internal variability can delay emergence of the anthropogenic signal in long-term precipitation changes in many land regions ",high
101,data/raw/IPCC_AR6_WGI_FullReport.pdf,67,6,Several impact-relevant changes have not yet emerged from natural variability but will emerge sooner or later in this century depending on the emissions scenario ,high
102,data/raw/IPCC_AR6_WGI_FullReport.pdf,67,7,"Ocean acidification and deoxygenation have already emerged over most of the global open ocean, as has a reduction in Arctic sea ice ",high
103,data/raw/IPCC_AR6_WGI_FullReport.pdf,68,4,New techniques and analyses drawing on several lines of evidence have provided greater confidence in attributing changes in regional weather and climate extremes to human influence ,high
104,data/raw/IPCC_AR6_WGI_FullReport.pdf,68,13,Multiple attribution approaches support the contribution of human influence to several regional multi-decadal mean precipitation changes ,high
105,data/raw/IPCC_AR6_WGI_FullReport.pdf,68,14,"Understanding about past and future changes in weather and climate extremes has increased due to better observation-based datasets, physical understanding of processes, an increasing proportion of scientific literature combining different lines of evidence, and improved accessibility to different types of climate models ",high
106,data/raw/IPCC_AR6_WGI_FullReport.pdf,71,8,"In SSP1-2.6 and SSP2-4.5, changes in ERF also explain about half of the changes in the range of warming ",medium
107,data/raw/IPCC_AR6_WGI_FullReport.pdf,71,9,"For SSP5-8.5, higher climate sensitivity is the primary reason behind the upper end of the CMIP6- projected warming being higher than for RCP8.5 in CMIP5 ",medium
108,data/raw/IPCC_AR6_WGI_FullReport.pdf,71,14,The differences in the few ESMs for which both emissions and concentration-driven runs were available for the same scenario are small and do not affect the assessment of global surface temperature projections discussed in Cross-Section Box TS.1 and Section TS.2 ,high
109,data/raw/IPCC_AR6_WGI_FullReport.pdf,73,8,Multiple lines of evidence can be used to construct climate information on a global to regional scale and can be further distilled in a co-production process to meet user needs ,high
110,data/raw/IPCC_AR6_WGI_FullReport.pdf,73,12,Many global and regional climatic impact-drivers have a direct relation to global warming levels ,high
111,data/raw/IPCC_AR6_WGI_FullReport.pdf,75,4,"Climate change has already altered CID profiles and resulted in shifting magnitude, frequency, duration, seasonality and spatial extent of associated indices ",high
112,data/raw/IPCC_AR6_WGI_FullReport.pdf,75,6,"These include heat, cold, wet and dry hazards, both mean and extremes; cryospheric hazards (snow cover, ice extent, permafrost) and oceanic hazards (marine heatwaves) ",high
113,data/raw/IPCC_AR6_WGI_FullReport.pdf,75,12,Changes in GMST and GSAT over time differ by at most 10% in either direction ,high
114,data/raw/IPCC_AR6_WGI_FullReport.pdf,75,16,"Temperatures as high as during the most recent decade (2011–2020) exceed the warmest centennial-scale range reconstructed for the present interglacial, around 6500 years ago [0.2°C to 1°C] ",medium
115,data/raw/IPCC_AR6_WGI_FullReport.pdf,75,17,"The next most recent warm period was about 125,000 years ago during the last interglacial when the multi-centennial temperature range [0.5°C to 1.5°C] encompasses the 2011–2020 values ",medium
116,data/raw/IPCC_AR6_WGI_FullReport.pdf,75,22,Global surface temperature in any individual year could exceed 1.5°C relative to 1850–1900 by 2030 with a likelihood between 40% and 60% across the scenarios considered here ,medium
117,data/raw/IPCC_AR6_WGI_FullReport.pdf,76,5,It is likely that there was a net anthropogenic forcing of 0.0–0.3 Wm–2 in 1850–1900 relative to 1750 ,medium
118,data/raw/IPCC_AR6_WGI_FullReport.pdf,76,7,"Beginning approximately 6500 years ago, global surface temperature generally decreased, culminating in the coldest multi-century interval of the post-glacial period (since roughly 7000 years ago), which occurred between around 1450 and 1850 ",high
119,data/raw/IPCC_AR6_WGI_FullReport.pdf,76,8,"Over the last 50 years, global surface temperature has increased at an observed rate unprecedented in at least the last two thousand years ",high
120,data/raw/IPCC_AR6_WGI_FullReport.pdf,76,9,"Temperatures as high as during the most recent decade (2011–2020) exceed the warmest centennial-scale range reconstructed for the present interglacial, around 6500 years ago [0.2°C to 1°C] ",medium
121,data/raw/IPCC_AR6_WGI_FullReport.pdf,76,10,"The next most recent warm period was about 125,000 years ago during the Last Interglacial when the multi-centennial temperature range [0.5°C to 1.5°C] encompasses the 2011–2020 values ",medium
122,data/raw/IPCC_AR6_WGI_FullReport.pdf,76,11,"During the mid-Pliocene Warm Period, around 3.3–3.0 million years ago, global surface temperature was 2.5°C to 4°C warmer ",medium
123,data/raw/IPCC_AR6_WGI_FullReport.pdf,76,20,"Furthermore, the heating of the climate system continued during this period, as reflected in the continued warming of the global ocean (very high confidence) and in the continued rise of hot extremes over land ",medium
124,data/raw/IPCC_AR6_WGI_FullReport.pdf,76,21,"Since 2012, global surface temperature has risen strongly, with the past five years (2016–2020) being the hottest five-year period between 1850 and 2020 ",high
125,data/raw/IPCC_AR6_WGI_FullReport.pdf,78,3,Vertical bars are 5–95th percentile ranges of estimated global surface temperature for the Last Interglacial and mid-Holocene ,medium
126,data/raw/IPCC_AR6_WGI_FullReport.pdf,78,22,"The other half arises because for central estimates of climate sensitivity, most scenarios show stronger warming over the near term than was estimated as ‘current’ in SR1.5 ",medium
127,data/raw/IPCC_AR6_WGI_FullReport.pdf,78,25,"If climate sensitivity lies near the lower end of the assessed very likely range, crossing the 1.5°C warming level is avoided in scenarios SSP1-1.9 and SSP1-2.6 ",medium
128,data/raw/IPCC_AR6_WGI_FullReport.pdf,78,26,"Global surface temperature in any individual year, in contrast to the 20-year average, could by 2030 exceed 1.5°C relative to 1850–1900 with a likelihood between 40% and 60%, across the scenarios considered here ",medium
129,data/raw/IPCC_AR6_WGI_FullReport.pdf,79,14,"Continued GHG emissions greatly increase the likelihood of potentially irreversible changes in the global climate system (Box TS.9), in particular with respect to the contribution of ice sheets to global sea level change ",high
130,data/raw/IPCC_AR6_WGI_FullReport.pdf,83,11,"Global mean concentrations of anthropogenic aerosols peaked in the late 20th century and have slowly declined since in northern mid-latitudes, although they continue to increase in South Asia and East Africa ",high
131,data/raw/IPCC_AR6_WGI_FullReport.pdf,83,12,"The total anthropogenic effective radiative forcing (ERF) in 2019, relative to 1750, was 2.72 [1.96 to 3.48] W m–2 ",medium
132,data/raw/IPCC_AR6_WGI_FullReport.pdf,83,14,The average magnitude and variability of volcanic aerosols since 1900 has not been unusual compared to at least the past 2500 years ,medium
133,data/raw/IPCC_AR6_WGI_FullReport.pdf,85,2,"The centennial rate of change of CO 2 since 1850 has no precedent in at least the past 800,000 years (Figure TS.9), and the fastest rates of change over the last 56 million years were at least a factor of four lower ",low
134,data/raw/IPCC_AR6_WGI_FullReport.pdf,85,6,"The increase since 1750 of 1137 ± 10 ppb (157.8%) far exceeds the range over multiple glacial–interglacial transitions of the past 800,000 years ",high
135,data/raw/IPCC_AR6_WGI_FullReport.pdf,85,12,N 2O concentration trends since 1980 are largely driven by a 30% increase in emissions from the expansion and intensification of global agriculture ,high
136,data/raw/IPCC_AR6_WGI_FullReport.pdf,85,16,"Abundances of HFCs, which are replacements for CFCs and HCFCs, are increasing ",high
137,data/raw/IPCC_AR6_WGI_FullReport.pdf,85,19,Ice cores show increases in aerosols across the Northern Hemisphere mid-latitudes since 1700 and reductions since the late 20th century ,high
138,data/raw/IPCC_AR6_WGI_FullReport.pdf,85,20,"Aerosol optical depth (AOD), derived from satellite- and ground-based radiometers, has decreased since 2000 over the mid-latitude continents of both hemispheres, but increased over South Asia and East Africa ",high
139,data/raw/IPCC_AR6_WGI_FullReport.pdf,85,22,"Global carbonaceous aerosol budgets and trends remain poorly characterized due to limited observations, but black carbon (BC), a warming aerosol component, is declining in several regions of the Northern Hemisphere ",low
140,data/raw/IPCC_AR6_WGI_FullReport.pdf,85,23,"Total aerosol ERF in 2019, relative to 1750, is −1.1 [−1.7 to −0.4] W m−2 ",medium
141,data/raw/IPCC_AR6_WGI_FullReport.pdf,85,25,"Since the mid-20th century, tropospheric ozone surface concentrations have increased by 30–70% across the Northern Hemisphere ",medium
